plateifu,log(N/Ha),log(O/Hb),avg_emline_sew_peak_ha_6564
10510-3702,0.021515942,0.059572985,0.485300372
10510-3703,-0.102130937,0.191490521,1.104568183
10510-3704,-0.235145511,0.330023247,11.68738699
10510-6101,-0.130846769,0.198565006,3.955304801
10510-6102,0.007071883,0.167895478,0.600810627
10510-6103,0.192727463,0.285222111,86.97163963
10510-6104,0.673447111,0.14309381,1.58116591
10510-9101,-0.619415279,-0.084932947,2.152997196
10510-9102,0.388798246,0.521823734,6.523197293
10838-12701,-0.676732606,-0.033696368,24.15870333
10838-12702,-0.117600278,0.226931349,0.285358081
10838-12703,-0.560090926,-0.069596124,4.453912377
10838-12704,-0.750749163,0.158137544,19.60423231
10838-12705,-0.097017712,0.720340883,9.90929091
10838-1901,0.040564022,0.325173534,0.652604133
10838-1902,-0.144632266,-0.019702662,5.468850613
10838-3701,0.26688115,0.168966025,0.917504206
10838-3702,-0.745207141,0.131945103,71.35241699
10838-3703,-0.018056939,0.203106513,4.333038807
10838-3704,0.273399885,0.176561128,0.323887482
10838-6101,-0.696191463,-0.012875716,4.840054035
10838-6102,-1.178569788,0.470480724,49.02115822
10838-6103,-0.786433517,0.157183838,14.54149532
10838-6104,-0.085398074,0.232609755,4.093140304
10838-9101,-0.268269749,-0.214046706,17.02518559
10838-9102,-0.446949318,-0.446593919,10.30507278
11011-12703,-0.249496988,-0.378677299,14.09997201
11011-12704,0.55431123,0.258838913,1.220873038
11011-12705,-0.382913392,-0.435052261,8.986297369
11011-1901,0.277456251,0.15012444,1.319199428
11011-1902,-0.057356236,0.423960373,170.9762268
11011-3701,-0.289159011,-0.159425323,4.237581432
11011-3702,-0.122802399,0.344791333,2.74854666
11011-3703,-0.242068704,0.075896377,3.896051109
11011-3704,0.192353574,0.567468176,5.64720273
11011-6101,0.034830957,-0.093451427,0.576313086
11011-6102,-0.579621319,-0.107326256,1.697980613
11011-6103,0.11805021,1.129522413,1.492318004
11011-6104,-0.521063496,-0.398073048,7.316204071
11011-9101,0.217657813,0.039160893,1.380028427
11011-9102,-1.56971231,-0.131378797,1.304911733
11012-12701,0.064747594,0.161609565,1.793336064
11012-12702,0.264275177,0.027206588,5.163776636
11012-12703,-0.440190199,-0.468044611,6.67900002
11012-12704,-0.160194377,-0.014833036,2.174170911
11012-12705,0.146329956,0.278484238,4.98702991
11012-1901,-0.172418706,-0.103937241,0.552034795
11012-1902,-0.270930365,0.350103775,0.592168808
11012-3701,0.199431971,0.564443848,0.970221177
11012-3702,-0.361426188,-0.460947876,27.45208025
11012-3703,0.12757934,0.244582015,1.831444919
11012-3704,-0.05682836,0.166868504,1.704825401
11012-6101,-0.456602469,-0.656474956,11.06127095
11012-6102,-0.46428044,-0.569518921,11.3772223
11012-6103,-0.364448434,-0.217809903,1.798880458
11012-6104,-0.041261725,0.281242759,3.306580245
11012-9101,-0.046643778,0.030683699,1.00171189
11012-9102,-0.26932879,-0.211346636,13.19524908
11013-12701,-0.644568854,0.028901435,8.696285248
11013-12702,-0.409594095,-0.398594701,10.81573749
11013-12703,-0.492463629,-0.342543988,2.752800763
11013-12704,-0.427776401,-0.191246915,6.517822862
11013-12705,-0.629576487,-0.062086115,11.73820996
11013-1901,0.430901993,0.203312296,1.225083515
11013-1902,-0.494277783,-0.127153976,32.86754131
11013-3701,-0.334020238,-0.211911632,17.85481358
11013-3702,0.095263157,0.13577594,56.64973736
11013-3703,-0.59994121,-0.105802524,41.50158024
11013-3704,-0.558153262,-0.284387936,10.99226356
11013-6101,0.00256274,0.382208411,247.4845581
11013-6102,-0.70893057,0.179259301,68.93374252
11013-6103,-0.657146847,-0.034236751,3.169283032
11013-6104,-0.067584671,0.168002519,5.356483936
11013-9101,-0.27875794,-0.359118236,3.822655916
11013-9102,-0.538467009,-0.22100656,25.50685406
11016-12701,-0.664346533,0.00352579,5.68764782
