plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,log(N/Ha),log(O/Hb),KL log(O/Hb)
10143-12702,-2.642916054,21.5618428,15.58091402,44.20935917,33.50818014,-0.452921289,-0.911602506,0.529055229
10143-12703,15.98465983,55.83194606,48.93887456,177.5063121,116.4742813,-0.559559823,-0.543179367,0.597513788
10143-12704,9.896091779,27.17920748,11.95728811,35.41474024,113.1237717,-0.471551367,-0.438773075,0.542133063
10143-12705,-1.070398845,7.984059006,19.80160332,46.48286068,99.3607682,-0.370592492,-0.872678106,0.464321379
10143-9101,3.814035257,20.07833735,63.1880366,134.2882894,34.92684301,-0.327403281,-0.721343044,0.425016942
10143-9102,2.007943267,5.062909413,7.637400314,7.62893904,2.012337394,0.00048141,-0.401648719,-0.109203084
10144-12701,22.75489393,10.86853805,40.68902797,82.40069032,34.86252308,-0.306453535,0.320903685,0.404376685
10144-12702,30.58693186,30.55239868,39.33323034,142.0127563,48.97634888,-0.557567741,0.000490603,0.596365171
10144-12703,2.411878268,56.44572957,66.73458099,258.3889058,48.81697083,-0.587922925,-1.369275706,0.613398448
10144-12704,-14.53667514,11.2966973,9.674728076,44.64510218,69.82546743,-0.664135054,0.109513593,0.652145185
10144-12705,8.172415257,86.2693456,107.3903732,300.9465027,61.61049779,-0.447523949,-1.023506078,0.525167218
10144-9101,-4.954163233,-3.834531069,13.66466268,9.947621346,1.48786811,0.13787967,0.111258051,-0.646683709
10144-9102,-4.509028172,-5.150719136,5.723386914,4.243366875,1.158834435,0.129942524,-0.05778492,-0.60381441
10145-12701,20.18867169,63.71484482,127.7039726,356.3003426,689.0536346,-0.445611833,-0.499132884,0.523778815
10145-12702,-7.516418616,23.92183749,31.35790698,62.93532944,32.65068054,-0.302547442,-0.502783576,0.400404479
10145-12703,-0.998067935,13.33649095,33.80726115,63.11346054,12.84330241,-0.271112005,-1.125881471,0.366912537
10145-12704,2.958387295,9.369035721,24.40689659,37.05791601,13.66676903,-0.181368432,-0.500639866,0.253510034
10145-12705,18.20131874,114.5195033,182.5360819,408.2793376,58.37672806,-0.349608677,-0.798776601,0.445742384
10145-9101,3.912006382,13.62639399,13.016931,27.11069542,19.94312912,-0.318632055,-0.541981387,0.416508743
10145-9102,2.059787296,15.89501421,4.960357875,7.41171968,9.576506019,-0.174405975,-0.887438545,0.243391769
10146-12701,32.38999812,58.8870608,239.3711446,258.8684285,61.16772079,-0.034007291,-0.259608955,-0.020299952
10146-12702,2.272516569,19.77037303,45.01004664,86.23310852,12.41926257,-0.282364579,-0.939507805,0.379222862
10146-12703,6.865050346,1.882545337,18.79711884,50.77204013,19.56825089,-0.431533327,0.561898282,0.513374986
10146-12704,3.907694181,3.472333392,24.86868477,60.22106806,36.42011642,-0.384095636,0.051299151,0.475794267
10146-12705,23.36952527,8.533482552,15.62020461,33.72397614,49.09464391,-0.334252055,0.437523585,0.431531313
10146-9101,0.739174068,6.053913434,10.50426928,16.71144454,2.361412287,-0.201648145,-0.913289484,0.28178637
10146-9102,6.205864271,15.42573833,25.82442983,86.41297404,28.39750926,-0.524548211,-0.395443687,0.576656179
10147-12701,31.3726877,58.81911254,110.8831053,234.0413876,109.0420265,-0.324427284,-0.272966741,0.422151247
10147-12702,-4.870672703,9.914544741,18.32857895,15.96328449,7.290999413,0.060006541,-0.30868383,-0.297828614
10147-12703,-7.86695528,18.75075976,21.9861997,52.17081324,83.21434784,-0.375277438,-0.377212188,0.46834345
10147-12704,5.440775553,33.88968913,60.36685054,218.5321655,187.9031576,-0.558716851,-0.794406775,0.597028281
10147-12705,-5.201417923,-2.701260885,9.863532702,24.36141968,6.765631358,-0.392670105,0.28455522,0.482893081
10147-9101,-0.446840681,-2.53941603,15.70947777,19.87891436,15.90057898,-0.102230915,-0.754581152,0.123996776
10147-9102,4.4461507,5.146056811,4.465783596,9.531077385,8.396541913,-0.329244322,-0.063490398,0.426779063
10148-12701,29.17459997,-9.50595967,34.01381811,28.14708328,22.26538595,0.082221987,0.487008942,-0.383064948
10148-12702,14.35501544,51.46422323,91.06599935,263.7640584,60.75208028,-0.461859359,-0.554501758,0.535394781
10148-12703,-4.500311693,1.302888493,22.85057513,49.86579768,60.62102127,-0.338905635,0.538335346,0.435894733
10148-12704,10.63667806,10.01111666,26.01644452,47.52481969,55.34289805,-0.261672533,0.026323492,0.356293701
10148-12705,13.32630857,-6.971304576,24.80905787,29.81014887,16.28926468,-0.079753873,0.281395808,0.080412546
10148-9101,5.019469585,-5.951956746,8.946037903,9.10789524,20.16178656,-0.007787293,-0.074001939,-0.08671876
10148-9102,2.042513875,9.29925894,2.789376244,14.01222536,5.037323564,-0.701000016,-0.658283325,0.669077718
10149-12701,31.21944076,59.00192946,72.6731925,313.1596217,416.6418915,-0.634391521,-0.276441095,0.637659649
10149-12702,-5.06844457,47.03568522,53.74783325,163.8476461,78.2013677,-0.484079245,-0.967552774,0.550640111
10149-12703,5.653882186,11.00246461,30.13788605,89.13824972,119.2250621,-0.470951316,-0.289143226,0.541719914
10149-12704,12.12810389,6.928973834,24.39032046,38.63968277,41.69167455,-0.199816046,0.243123987,0.279302199
10149-12705,9.64143912,0.080445568,17.56586138,9.780753454,23.01020559,0.25429714,2.078639742,-1.637964354
10149-9101,4.815684259,20.37744762,14.36657774,15.29947615,27.50024366,-0.027323233,-0.626491781,-0.036566464
10149-9102,3.564676778,7.422267426,9.641795732,8.740459353,4.108692557,0.042623669,-0.318516441,-0.237313484
10150-12701,-6.217465401,30.24260076,22.0306441,53.84634272,198.3654989,-0.388129016,-0.687005759,0.479151179
10150-12702,12.21421591,15.83865897,16.76756477,45.57050451,29.01069387,-0.434213844,-0.112852815,0.515380822
10150-12703,21.39414024,59.71185811,66.01414235,224.2526398,151.757075,-0.531100579,-0.445765747,0.580670615
10150-12704,-9.096624112,8.264598548,18.80403689,44.50567508,45.74002886,-0.374164299,0.041658487,0.467391852
10150-12705,8.759666284,12.64221891,19.48234113,37.37582779,60.60301208,-0.282949677,-0.159335745,0.379852896
10150-9101,17.29019603,7.351780385,6.379407108,7.862685084,55.2194134,-0.090790564,0.371407392,0.102249885
10150-9102,4.284051802,3.894956313,10.40498126,19.04610009,1.379594192,-0.26256476,0.041352123,0.357309113
10213-12701,5.606835723,6.205177486,9.364943743,8.109028816,0.817785963,0.062536329,-0.044036376,-0.30706598
10213-12702,13.39039922,20.36841965,18.57472992,65.79349709,4.316710055,-0.549260463,-0.182163809,0.59152687
10213-12703,3.87100099,6.957972288,6.768777311,22.3754096,2.099981844,-0.519260768,-0.254659412,0.573377953
10213-12704,7.85558033,8.897200763,16.74303412,11.52974391,1.087745726,0.162014501,-0.054075116,-0.790612731
10213-12705,26.57100964,78.58808899,171.4897575,396.5163727,24.7701025,-0.364022938,-0.470948671,0.458605248
10213-1901,84.85615349,49.86257982,90.72178459,74.69820023,5.430150747,0.084401447,0.230908597,-0.391956142
10213-1902,13.98815036,51.45655632,78.50826454,222.4892845,15.46608901,-0.452393722,-0.565680426,0.528677199
10213-3701,16.46995378,14.40354633,65.7432766,83.92904663,5.016779423,-0.106060945,0.058222946,0.131084263
10213-3703,16.94272232,24.99366379,27.16157961,75.57944298,32.40696621,-0.444448664,-0.16884673,0.522931389
10213-6101,3.96131736,2.335769057,2.764557779,8.783409119,0.948100507,-0.502037441,0.229409736,0.562452156
10213-6102,11.28663635,14.98070133,24.64324617,33.43661451,2.1816746,-0.132524383,-0.122967613,0.177592839
10213-6103,38.57296371,17.10510552,48.03801441,40.27578545,2.608066797,0.076541029,0.353157251,-0.360352249
10213-6104,15.99575973,8.744966507,21.58329725,10.08243012,0.88690339,0.330552571,0.262246721,-3.184408372
10213-9101,30.3463397,56.75425053,147.0279465,280.9889679,23.16591787,-0.281289378,-0.271892078,0.378062525
10213-9102,26.87436581,22.14706898,8.906194448,62.68011665,3.932506919,-0.847437623,0.084021966,0.726979976
10214-12701,7.437422395,12.3747375,21.9916544,49.36563683,2.986726701,-0.351166842,-0.221113548,0.447154614
10214-12702,6.549678961,6.041579882,6.112764041,5.038950443,0.590748151,0.083897545,0.035069491,-0.389891533
10214-12703,74.68219566,35.05850887,162.447773,108.6216373,6.736116886,0.174797417,0.328423637,-0.876377583
10214-12704,4.244968891,11.44773134,-0.283818687,1.573464831,0.397751302,-0.743816054,-0.430844917,0.687452684
10214-12705,6.491624832,5.920355797,0.329684953,3.028599819,0.613686581,-0.963142766,0.040005605,0.764362014
10214-1901,19.84820843,11.47978783,31.56438065,22.61163187,1.471299201,0.144865366,0.23778745,-0.686145866
10214-1902,37.1186018,64.26574707,212.5654526,280.9692383,18.00086021,-0.121166092,-0.238387952,0.158141089
10214-3701,16.07640982,107.7889366,112.6306057,422.0263367,92.164114,-0.573683134,-0.826385119,0.60553142
10214-3702,44.52604103,30.91839361,137.280323,108.8225689,6.648541927,0.100889319,0.15839716,-0.462620829
10214-3703,5.07364291,11.85802376,3.350165427,9.352463245,0.758269057,-0.445859758,-0.368692419,0.523959163
10214-3704,14.50768924,11.69718748,19.60995102,18.85415125,1.2287184,0.017069522,0.093516793,-0.156785058
10214-6101,165.0967026,118.3618298,79.4492569,384.6604538,22.04045248,-0.6849877,0.144526729,0.661855848
10214-6102,1.869541367,5.757918517,-1.730971416,2.130318483,0.409475585,-0.090154639,-0.488530436,0.101014999
10214-6103,16.26743555,21.39659214,20.48633337,66.29811096,8.801813126,-0.510036919,-0.119025513,0.567574468
10214-6104,8.636906624,16.38792586,19.38295221,56.34310913,4.260191917,-0.463420884,-0.278165766,0.536489873
10214-9101,7.819705168,13.33130201,3.547299306,5.791616917,0.762104909,-0.212901994,-0.231682188,0.296753231
10214-9102,7.934250712,1.041362807,11.4396503,4.064557791,0.937627748,0.449399446,0.881903857,-28.42085376
10215-12701,19.74593449,16.8075881,44.52706528,63.51529503,3.493065655,-0.154254247,0.069972295,0.212834042
10215-12702,7.143701315,28.52032614,34.3535862,112.2817421,10.09186029,-0.514337062,-0.601231199,0.570293577
10215-12703,32.73849201,32.28308916,27.00597382,100.3962193,21.7072072,-0.570257516,0.006083586,0.603606736
10215-12704,41.67984962,22.33083224,49.64623737,63.19678688,16.61045408,-0.104808659,0.271021234,0.128777294
10215-12705,5.809395671,11.8264308,23.59903812,45.8794384,3.408590615,-0.288723791,-0.308722738,0.386018357
10215-1901,21.02876186,63.21726894,87.99266434,208.7163658,12.76073456,-0.375110036,-0.478022027,0.468200502
10215-1902,65.28850555,35.05067921,104.3449116,112.8888054,7.275368333,-0.034179602,0.27014029,-0.019886314
10215-3701,34.55694771,53.3217783,44.49100113,156.356308,27.20065165,-0.545843229,-0.188369249,0.589513643
10215-3702,66.72859764,60.7979393,160.2816429,244.9979706,19.75703859,-0.184278702,0.040423138,0.257675597
10215-3703,48.73925591,28.42287016,120.3372669,120.6540222,6.649216056,-0.001141661,0.234210963,-0.104727363
10215-3704,24.86667252,76.99921227,151.5840149,310.6598053,21.47836065,-0.31163166,-0.490868607,0.409581254
10215-6101,21.60096407,22.76720333,38.91056252,85.98879814,41.03704739,-0.34437437,-0.022836552,0.440958745
10215-6102,1210.814545,843.4647064,612.0063934,2862.01239,302.4025345,-0.66991555,0.157010714,0.654872639
10215-6103,49.8900795,210.233654,296.851593,843.1239014,57.18999004,-0.453352017,-0.624688043,0.529363549
10215-6104,45.11606121,104.3815079,188.2953911,489.47995,40.37941837,-0.414895217,-0.364292389,0.500652845
10215-9101,7.338057995,15.89240432,25.52316523,64.47012806,4.127608418,-0.402424001,-0.335608466,0.490798695
10215-9102,16.86320114,12.49137521,85.37312889,85.52109718,5.648170352,-0.000752066,0.130329767,-0.105798882
10220-12701,19.10343885,41.42164898,106.3914165,229.5689507,12.86973572,-0.334006558,-0.336115831,0.431299721
10220-12702,16.76827812,17.88654375,75.84799004,94.01605797,14.27024388,-0.093257961,-0.028037961,0.107014863
10220-12703,25.9329567,30.42286301,20.88317156,94.90542603,29.88371944,-0.657494587,-0.069348047,0.648977447
10220-12704,37.2421608,114.2809429,177.1604729,485.9936905,29.07119799,-0.4382638,-0.486938944,0.518388955
10220-12705,9.091188669,15.36334205,30.21042776,70.19477844,11.17069697,-0.366147933,-0.227865029,0.460464022
10220-1901,48.09237289,30.47887373,40.34401417,64.82944298,3.7144714,-0.205993182,0.198077291,0.287624036
10220-1902,16.44757056,8.498699427,31.56340599,22.05676651,1.428598076,0.155642016,0.286749288,-0.750462882
10220-3701,73.5535965,89.43957901,132.3479881,438.0659943,27.95603752,-0.519822198,-0.084925833,0.573727702
10220-3702,20.58049107,15.96866345,52.76294804,56.98225498,3.731704712,-0.033410579,0.110187165,-0.021734568
10220-3703,68.67355919,6.26730758,135.5606499,72.34861374,4.10605967,0.272703428,1.039708547,-1.901792189
10220-3704,25.09885597,14.26546466,29.36710691,28.44225311,1.804730058,0.013897167,0.245368004,-0.147417697
10220-6101,7.138975501,13.44097233,32.14159918,37.96238899,2.488238215,-0.072286054,-0.274794795,0.065132422
10220-6102,14.7276051,7.973216593,68.27552223,54.27779675,3.333470166,0.09964282,0.266498569,-0.45705866
10220-6103,26.83096981,27.89782643,57.7156229,85.20857239,7.929009199,-0.169189902,-0.016933997,0.235667026
10220-6104,17.71451139,32.83891678,106.4979897,236.3574409,13.65192509,-0.346227869,-0.268059645,0.442659677
10220-9101,125.9962807,30.25308084,115.2561359,93.86432076,5.790974617,0.089163514,0.619588117,-0.411737286
10220-9102,193.4937935,120.5802593,62.07228756,386.8310242,29.81471395,-0.794623547,0.205390826,0.707643016
10480-12701,1.984307726,29.0302035,48.45912933,76.69317373,13.63574155,-0.199381103,-1.165241057,0.278710457
10480-12702,6.213870525,16.05316893,41.41602961,99.68979645,38.15831884,-0.381482247,-0.412198576,0.47360221
10480-12703,14.63111623,14.95765146,31.26862717,81.50256348,196.0375722,-0.416062455,-0.009585949,0.501560944
10480-12704,19.64729309,79.30371348,149.1685028,417.0345459,101.0877686,-0.446494901,-0.6059908,0.524420738
10480-12705,8.837282817,4.222564856,12.9607331,26.70552508,20.44219144,-0.313971554,0.320742425,0.411910544
10480-9101,-3.10769798,0.386091687,7.711885773,6.907261424,1.155447029,0.047854695,0.905748355,-0.255000081
10480-9102,21.15646998,4.295730909,15.58804671,14.65208721,4.553542932,0.026892203,0.692406137,-0.186640187
10481-12701,1.180138528,-0.709569573,31.79097811,45.89669927,12.74516519,-0.159477564,0.220938005,0.220942427
10481-12702,-1.082481047,44.36283239,63.93165843,230.7618103,152.9697266,-0.557447967,-1.612598965,0.596295969
10481-12703,3.04090484,-9.307552656,22.75147057,34.05124537,12.28044192,-0.175123527,-0.485832672,0.244444654
10481-12704,9.700152397,4.332034826,33.99138133,28.17458216,4.155341148,0.08151133,0.350086618,-0.38018736
10481-12705,8.071742058,8.759723981,9.092563947,14.48952357,64.65830739,-0.202367742,-0.035523147,0.282758379
10481-9101,-2.852034472,-2.954507973,2.545046046,4.936374441,1.661839291,-0.287712451,-0.015330396,0.38494526
10481-9102,-2.941863358,5.940239161,10.59233855,13.76017298,35.91596365,-0.11363204,-0.305181434,0.144820918
10482-12701,13.64123758,11.69421228,29.82027245,35.191185,8.574711164,-0.071922284,0.0668828,0.064377346
10482-12702,8.738486926,70.43652089,117.5972417,329.3812358,217.368337,-0.447301719,-0.906361656,0.525006152
10482-12703,-3.036225875,10.10203393,31.48353895,58.90768941,67.02760061,-0.272088445,-0.522074746,0.367995555
10482-12704,5.008887291,-7.093554338,15.84890588,17.72248332,64.5995992,-0.04852529,-0.15112264,0.013586791
10482-12705,11.93974082,16.94271469,17.18324979,39.92474874,188.6580963,-0.366136888,-0.151988098,0.460454385
10482-9101,11.42302368,5.360960841,35.57153964,76.40871024,170.3868043,-0.332040206,0.328538442,0.429439625
10482-9102,-2.984674931,-0.776526074,11.68608443,7.397011916,1.497483253,0.198612701,0.584740995,-1.057710203
10483-12701,8.598541578,39.94087346,72.40137482,235.8138326,26.04054705,-0.512822464,-0.666992763,0.569338566
10483-12702,5.727317015,10.870972,31.21320979,74.59128062,26.98699506,-0.378349632,-0.278317154,0.47095684
10483-12703,-5.441328208,2.538724661,32.1072464,28.45739365,16.9397138,0.05240794,0.331089321,-0.270755742
10483-12704,69.34833121,169.0658114,185.641192,604.1168814,155.4957962,-0.512446624,-0.387019778,0.569101128
10483-12705,-0.1367516,6.087025464,30.02988458,52.76510763,40.66380644,-0.244793165,-1.648472703,0.336606278
10483-9101,23.85194306,55.88387954,67.99697924,195.5688605,63.98879671,-0.458810086,-0.369762784,0.533245719
10483-9102,-5.683183988,31.91148122,21.25780233,29.05556679,4.145871639,-0.135710987,-0.749355247,0.182919044
10484-12701,-2.154273152,80.12394969,189.4064992,555.9042155,686.1870931,-0.46760509,-1.57046158,0.539406262
10484-12702,9.895086288,1.788290799,5.008161068,27.88430659,7.096514702,-0.745681561,0.742981444,0.688223861
10484-12703,6.725329876,27.8176225,50.31782659,153.0954692,388.3455505,-0.483240464,-0.616606418,0.550077522
10484-12704,-11.40387599,10.38706811,17.65627289,38.41876475,16.09541384,-0.337644365,0.040559506,0.434717073
10484-12705,-10.07941596,9.67794927,41.36498133,77.31131236,9.553895315,-0.271610213,0.017652027,0.367465481
10484-9101,-8.253321966,11.38898595,19.4638532,23.75621414,4.042116006,-0.086548411,-0.13985627,0.093958779
10484-9102,3.264063083,9.40223217,17.50549689,22.8965697,15.88090408,-0.11659598,-0.459472428,0.150101976
10485-12701,8.252786954,14.15095838,27.40243912,36.57339859,5.963530223,-0.125376098,-0.23418522,0.165437539
10485-12702,16.10695076,-2.036708514,17.19317627,20.27501361,4.788154761,-0.071605039,0.898084452,0.063718011
10485-12703,-2.209937652,13.03175354,20.40585899,37.70573171,38.05830765,-0.266652492,-0.770622837,0.361929768
10485-12704,1.789778392,11.54418945,42.83990224,52.17962265,92.7428716,-0.085652463,-0.809564185,0.092191494
10485-12705,7.89428997,36.48292414,34.46425247,113.161527,80.89949036,-0.516329936,-0.664776565,0.57154569
10485-9101,9.766212781,4.126535177,11.36579514,18.53439267,5.311925093,-0.212378536,0.374140631,0.296068014
10485-9102,-13.31092072,-2.426130295,24.04189046,41.42750804,15.27507242,-0.236320196,0.739293976,0.326369024
10486-12701,0.218462184,11.80713336,32.56043243,31.44120103,10.17673743,0.015191037,-1.732768197,-0.151222467
10486-12702,12.50913906,-3.085882743,10.44200929,32.27925682,15.85403633,-0.490139452,0.607848001,0.554675622
10486-12703,10.87372925,64.12208432,74.02198172,227.7326336,52.14209557,-0.488064561,-0.770629116,0.553299693
10486-12704,-9.59209156,36.62704976,22.08799871,92.7261912,27.006066,-0.623046053,-0.581888623,0.631926533
10486-12705,-3.671667296,-0.477249928,1.190569624,10.78420708,6.446986407,-0.957033421,0.88611745,0.762539794
10486-9101,21.88079007,7.786223253,44.8380572,98.86080678,23.1519146,-0.343377364,0.448736148,0.4400406
10486-9102,0.08455352,19.63648733,8.375982443,9.428226789,7.250257333,-0.051394262,-2.36593211,0.020060006
10487-12701,23.15564283,5.52580293,35.07575862,36.13717016,5.462116718,-0.012947068,0.62226145,-0.07307838
10487-12702,-0.297357857,11.24746768,19.29302025,18.94655418,13.07194138,0.007869984,-1.577775335,-0.129974853
10487-12703,-1.171465675,-3.948739926,13.96761068,34.64884186,18.22475688,-0.394566602,-0.527728963,0.484444177
10487-12704,13.3723739,24.17021179,47.05470912,106.2290827,45.37764613,-0.353640338,-0.257071945,0.449385473
10487-12705,0.328044223,-0.798026271,6.471060976,14.52298194,3.125097573,-0.351080305,-0.386084795,0.447076322
10487-9101,6.37486881,-5.920328677,23.87404633,55.08166456,343.6070557,-0.363081024,0.032125434,0.457778304
10487-9102,2.95142142,2.297626257,19.83444722,14.24031576,9.620746295,0.143900482,0.108751839,-0.680594609
10488-12701,9.586380348,25.67033583,49.29429287,100.6072836,21.640064,-0.309832782,-0.427776894,0.407781024
10488-12702,-1.65876472,1.688722774,14.12736332,11.56223607,3.822161317,0.087019282,-0.007773571,-0.402769483
10488-12703,3.947071473,17.48712158,22.60939344,46.20895513,77.83868408,-0.310437237,-0.646443339,0.408386859
10488-12704,19.66147804,29.59242185,46.97640101,98.93144989,393.7663981,-0.323454633,-0.177564347,0.421209984
10488-12705,8.455528259,-10.91570123,11.98312664,19.33466848,3.931786855,-0.207766581,-0.110910895,0.289985132
10488-9101,23.45167859,-8.563165824,28.60648855,40.83866247,13.95112419,-0.154606958,0.437539579,0.21338584
10488-9102,-2.767893061,0.210844444,13.94756216,11.55184118,2.951921821,0.081847096,1.118187145,-0.38154563
10489-12701,0.969404101,8.547175407,21.91462326,62.59726969,12.70094268,-0.455821382,-0.945317764,0.531125608
10489-12702,22.52169673,-2.717480858,30.62801615,34.46566391,92.75465139,-0.051267781,0.918434612,0.01977613
10489-12703,-7.534188271,23.88006083,21.47379112,61.47101974,158.9807638,-0.456761693,-0.50099896,0.531794116
10489-12704,8.000888348,55.95048141,61.13958232,241.2568614,30.92362086,-0.596157206,-0.844665618,0.617851731
10489-12705,-0.186445276,-3.792075872,11.20471986,10.22132651,2.467017968,0.039893741,-1.308325634,-0.228254182
10489-9101,7.258486271,39.58532842,57.33607737,195.4583995,49.79854584,-0.532626361,-0.736688193,0.581597883
10489-9102,9.666813533,62.91119639,89.12243907,275.2980347,50.73541768,-0.489816047,-0.813444603,0.554461553
10490-12702,5.478832404,14.22942098,42.37369156,80.72839101,42.04662704,-0.279929996,-0.414499213,0.376590744
10490-12703,-14.1681153,21.32133611,21.70579338,39.14811707,5.919236183,-0.256135214,-0.177502334,0.349936072
10490-12704,-3.064923,100.507412,69.9223063,383.6163955,84.22122765,-0.739281416,-1.515778522,0.685568201
10490-12705,24.71697934,7.720115662,38.54727173,52.6080157,31.29256821,-0.135058276,0.505371588,0.181832648
10490-9101,0.393978758,4.303423401,16.20749748,21.81538999,11.42136943,-0.129047019,-1.038341271,0.17171599
10490-9102,-1.72183766,35.65764109,39.52163188,92.72640483,91.76940664,-0.370368553,-1.316160407,0.464128003
10491-12701,27.98155594,6.22301054,48.69810613,84.87479146,34.29390971,-0.241266648,0.652871324,0.332375083
10491-12702,10.29643408,5.437345346,31.86296399,66.8655777,147.218633,-0.321916428,0.277299926,0.4197167
10491-12703,5.232746919,16.87079875,25.34589259,71.74769847,17.94923846,-0.451900384,-0.508405914,0.528323304
10491-12704,6.10792621,21.59458923,28.69813283,38.89042028,134.0143763,-0.131988995,-0.548451166,0.176692439
10491-12705,17.93711281,0.962356031,26.48692322,36.78167725,62.53187561,-0.142600017,1.270416767,0.194244232
10491-9101,5.859944463,4.210030481,14.65931606,69.47495055,57.9036386,-0.675714538,0.14360826,0.657581165
10491-9102,15.62554328,3.852104823,-1.154400984,5.751904647,20.43671862,-0.697454989,0.608137029,0.667495916
10492-12701,39.18738651,26.49633741,128.1187134,105.564764,11.3945775,0.084093587,0.169960455,-0.390694127
10492-12702,326.6535263,97.10350037,322.3075867,378.8000107,23.65356588,-0.070139454,0.526852465,0.06066202
10492-12703,15.46638441,16.05670333,38.78611183,53.97960567,12.17723846,-0.143553462,-0.016267583,0.19579161
10492-12704,16.05352449,41.11692524,76.17865181,175.9164543,11.8204813,-0.363473181,-0.408450235,0.458122821
10492-12705,43.957304,15.70165938,50.93393898,38.90871906,2.170716047,0.11696033,0.447085496,-0.537851152
10492-1901,13.08787322,40.88801289,44.16838264,151.8692093,10.54338837,-0.536358235,-0.494726925,0.583854019
10492-1902,30.89377403,14.46097863,57.51062584,47.64824677,2.71043855,0.081701168,0.329673281,-0.380955023
10492-3701,5.837266127,5.073351065,1.424690922,1.968494892,0.5208082,-0.140413635,0.060914578,0.190677631
10492-3702,0.45383751,0.004082181,1.094005942,0.729450822,0.155027611,0.176023663,2.046008079,-0.884996941
10492-3703,2.992006242,3.833851933,8.534858942,21.06468868,1.213073581,-0.392358697,-0.107672841,0.482637737
