Name,plateifu,MANGAID,objra,objdec,Type,TType,Unsure,Bars,Edge_on,Tidal,C,E_C,A,E_A,S,E_S,cas_flag
manga-10510-6101 ,10510-6101 ,1-189473 ,181.193442353,54.5752126422,SBb        ,3,0,0.75,0,0,2.799,0.49,0.088,0.704,0.24,0.131,1
manga-10510-6102 ,10510-6102 ,1-189101 ,178.849434054,53.8995045098,Edc        ,-5,0,0.0,0,0,3.913,0.266,0.054,0.007,0.04,0.06,1
manga-10510-6103 ,10510-6103 ,1-617445 ,177.778667165,55.0787174228,S-merger   ,11,0,0.0,0,1,5.401,0.143,0.494,0.005,0.28,0.102,0
manga-10510-6104 ,10510-6104 ,1-618223 ,180.05782,56.2506,E          ,-5,0,0.0,0,1,3.499,0.202,0.549,0.008,0.39,0.1825,0
manga-10510-9101 ,10510-9101 ,1-188593 ,178.740595593,54.9559349125,Scd        ,6,0,0.0,1,0,3.168,0.225,0.001,0.045,0.0,0.0385,1
manga-10510-9102 ,10510-9102 ,1-189083 ,178.88195517,54.8989046484,S0a        ,0,0,0.0,0,0,4.002,0.229,0.117,0.005,0.0,0.002,1
manga-10511-12701,10511-12701,1-76456  ,131.51101,2.53328,Sbc        ,4,0,0.0,1,0,3.136,0.071,1.198,0.008,3.94,0.338,0
manga-10511-12702,10511-12702,1-76419  ,131.816453977,2.66039690286,S0         ,-2,0,0.0,0,0,3.564,0.364,0.193,0.223,0.27,0.2525,1
manga-10511-12703,10511-12703,1-213922 ,131.93000215,4.98338095162,Sa         ,1,0,0.0,0,0,4.014,0.304,0.214,0.021,0.37,0.24,1
manga-10511-12704,10511-12704,1-213726 ,132.250239832,4.34377684732,Sbc        ,4,0,0.0,0,0,2.808,0.236,0.196,0.005,0.3,0.129,1
manga-10511-12705,10511-12705,1-585278 ,130.85869,3.61473,SABc       ,5,0,0.5,0,0,3.395,0.116,0.317,0.012,0.85,0.34,0
manga-10511-1901 ,10511-1901 ,1-213789 ,130.862653629,4.43320488376,SABd       ,7,0,0.5,0,0,2.543,0.104,0.392,0.109,0.53,0.5865,1
manga-10511-1902 ,10511-1902 ,1-76480  ,131.017579081,2.71155432827,S0         ,-2,0,0.0,0,0,2.942,0.524,0.099,0.002,0.17,0.0865,1
manga-10511-3701 ,10511-3701 ,1-76417  ,131.881150795,2.69029801278,Sc         ,5,0,0.0,1,0,1.9,0.118,0.89,0.004,2.14,0.227,0
manga-10511-3702 ,10511-3702 ,1-213739 ,131.5809234,4.06582588166,Edc        ,-5,0,0.0,0,0,3.694,0.414,0.131,0.006,0.12,0.0635,1
manga-10511-3703 ,10511-3703 ,1-214312 ,132.797752143,4.88058987648,Sb         ,3,0,0.0,0,1,3.62,0.311,0.174,0.01,0.18,0.1555,1
manga-10511-3704 ,10511-3704 ,1-76425  ,131.827669591,2.76227753464,Sab        ,2,0,0.0,0,1,4.546,0.219,0.108,0.011,0.15,0.117,1
manga-10511-6101 ,10511-6101 ,1-76593  ,130.858357231,2.90587249123,SABbc      ,4,0,0.5,1,0,2.898,0.264,0.115,0.021,0.33,0.218,1
manga-10511-6102 ,10511-6102 ,1-214291 ,132.185348603,4.33203747672,S0a        ,0,0,0.0,0,0,3.06,0.361,0.069,0.105,-0.01,0.0405,1
manga-10511-6103 ,10511-6103 ,1-213731 ,132.207802048,4.589344541,E          ,-5,0,0.0,0,0,3.951,0.342,0.091,0.204,0.29,0.176,1
manga-10511-6104 ,10511-6104 ,1-214296 ,131.980479242,4.99220496157,Sa         ,1,0,0.0,0,1,3.69,0.386,0.021,0.011,0.02,0.0485,1
manga-10511-9101 ,10511-9101 ,1-214286 ,132.177854072,3.80622119598,S0a        ,0,0,0.0,0,1,3.781,0.301,0.515,0.009,0.39,0.226,0
manga-10511-9102 ,10511-9102 ,1-605502 ,132.531730756,2.64785858588,S0         ,-2,0,0.0,0,0,4.327,0.193,0.388,0.009,0.81,0.2515,0
manga-10512-12701,10512-12701,1-605601 ,135.5654,3.16994,SABb       ,3,0,0.5,0,0,2.906,0.126,0.157,1.581,0.23,0.265,1
manga-10512-12702,10512-12702,1-605611 ,136.015436579,3.58471960293,SABb       ,3,0,0.5,0,0,4.067,0.202,0.106,0.029,0.09,0.095,1
manga-10512-12703,10512-12703,1-214751 ,136.212574979,5.11587927994,Sa         ,1,0,0.0,1,0,3.689,0.213,0.216,0.02,0.14,0.198,1
manga-10512-12704,10512-12704,1-77024  ,136.272058301,3.85157518708,SABb       ,3,0,0.5,0,0,2.959,0.122,1.049,0.423,2.48,0.2055,0
manga-10512-12705,10512-12705,1-76911  ,136.97899429,3.27271277589,SABc       ,5,0,0.5,0,0,2.806,0.116,0.307,0.015,0.53,0.314,1
manga-10512-1901 ,10512-1901 ,1-76995  ,135.52746784,3.49770217058,Edc        ,-5,0,0.0,0,0,3.428,0.342,0.147,0.004,0.17,0.124,1
manga-10512-1902 ,10512-1902 ,1-77006  ,135.588284493,3.61573908716,S0         ,-2,0,0.0,0,0,3.252,0.48,0.063,0.002,0.03,0.0345,1
manga-10512-3701 ,10512-3701 ,1-76957  ,135.691046909,3.27508501059,Edc        ,-5,0,0.0,0,0,3.536,0.337,0.044,0.012,0.04,0.087,1
manga-10512-3702 ,10512-3702 ,1-76991  ,135.510780261,3.59045408948,SABd       ,7,1,0.5,0,0,2.578,0.175,0.139,0.033,0.04,0.166,1
manga-10512-3703 ,10512-3703 ,1-77011  ,135.689933372,3.4118698826,SABb       ,3,0,0.5,0,0,2.633,0.202,0.137,0.028,0.19,0.257,1
manga-10512-3704 ,10512-3704 ,1-76931  ,136.477273041,3.07847098232,Edc        ,-5,0,0.0,0,0,3.887,0.316,0.111,0.013,0.31,0.1435,1
manga-10512-6101 ,10512-6101 ,1-77016  ,135.622449532,3.38500473256,Sb         ,3,0,0.0,0,0,3.711,0.291,0.051,0.003,0.09,0.062,1
manga-10512-6102 ,10512-6102 ,1-77060  ,136.375519471,3.47303038424,Sa         ,1,0,0.0,0,1,3.334,0.244,0.224,0.011,0.34,0.259,1
manga-10512-6103 ,10512-6103 ,1-77030  ,135.888963841,3.3758393992,Sab        ,2,0,0.0,1,0,3.706,0.323,0.105,0.067,0.23,0.097,1
manga-10512-6104 ,10512-6104 ,1-76920  ,136.76973698,3.14613747011,SABc       ,5,0,0.25,0,0,2.329,0.541,0.199,0.276,0.09,0.1265,1
