plateifu,log(N/Ha),log(O/Hb),EW(Ha),KL_Calc,comparison,Classification
10144-12705,-0.447523949,-1.023506078,61.61049779,0.5251672175262206,lower,SFG
10145-12701,-0.445611833,-0.499132884,689.0536346,0.5237788154164233,lower,SFG
10145-12702,-0.302547442,-0.502783576,32.65068054,0.40040447895237485,lower,SFG
10145-12703,-0.271112005,-1.125881471,12.84330241,0.36691253699229975,lower,SFG
10145-12704,-0.181368432,-0.500639866,13.66676903,0.25351003513169934,lower,SFG
10145-12705,-0.349608677,-0.798776601,58.37672806,0.4457423839962591,lower,SFG
10145-9101,-0.317622949,-0.539305321,25.73316193,0.4155177419925583,lower,SFG
10145-9102,-0.17032848,-0.904806053,12.35421626,0.23736394045756004,lower,SFG
10146-12701,-0.034007291,-0.259608955,61.16772079,-0.020299951791769022,lower,SFG
10146-12702,-0.282364579,-0.939507805,12.41926257,0.3792228621251984,lower,SFG
10146-12703,-0.431533327,0.561898282,19.56825089,0.5133749860031519,higher,AGN
10146-12704,-0.384095636,0.051299151,36.42011642,0.4757942667207352,lower,SFG
10146-12705,-0.334252055,0.437523585,49.09464391,0.4315313132149845,higher,AGN
10146-9102,-0.524548211,-0.395443687,28.39750926,0.576656178902925,lower,SFG
10147-12701,-0.324427284,-0.272966741,109.0420265,0.4221512462051844,lower,SFG
10147-12702,0.060006541,-0.30868383,7.290999413,-0.2978286143584552,lower,SFG
10147-12703,-0.375277438,-0.377212188,83.21434784,0.468343449644991,lower,SFG
10147-12704,-0.558716851,-0.794406775,187.9031576,0.5970282805156459,lower,SFG
10147-12705,-0.392670105,0.28455522,6.765631358,0.482893081069501,lower,SFG
10147-9101,-0.102230915,-0.754581152,15.90057898,0.12399677645867846,lower,SFG
10147-9102,-0.329244322,-0.063490398,8.396541913,0.42677906341135063,lower,SFG
10148-12701,0.082221987,0.487008942,22.26538595,-0.38306494837292404,higher,AGN
10148-12702,-0.461859359,-0.554501758,60.75208028,0.5353947807589706,lower,SFG
10148-12703,-0.338905635,0.538335346,60.62102127,0.4358947328262831,higher,AGN
10148-12704,-0.261672533,0.026323492,55.34289805,0.3562937004087319,lower,SFG
10148-12705,-0.079753873,0.281395808,16.28926468,0.08041254648878104,higher,AGN
10148-9101,-0.007787293,-0.074001939,20.16178656,-0.08671875945013907,higher,AGN
10148-9102,-0.713939841,-0.660745743,6.269782861,0.6747711185352364,lower,SFG
10149-12701,-0.634391521,-0.276441095,416.6418915,0.6376596493174271,lower,SFG
10149-12702,-0.484079245,-0.967552774,78.2013677,0.5506401111890867,lower,SFG
10149-12703,-0.470951316,-0.289143226,119.2250621,0.5417199140619513,lower,SFG
10149-12704,-0.199816046,0.243123987,41.69167455,0.27930219924889643,lower,SFG
10149-12705,0.25429714,2.078639742,23.01020559,-1.6379643580061942,higher,AGN
10149-9101,-0.01628808,-0.626730384,35.76713816,-0.06440047800472515,lower,SFG
10150-12701,-0.388129016,-0.687005759,198.3654989,0.47915117817202435,lower,SFG
10150-12702,-0.434213844,-0.112852815,29.01069387,0.5153808221940915,lower,SFG
10150-12703,-0.531100579,-0.445765747,151.757075,0.5806706151250762,lower,SFG
10150-12704,-0.374164299,0.041658487,45.74002886,0.46739185283882745,lower,SFG
10150-12705,-0.282949677,-0.159335745,60.60301208,0.3798528963709217,lower,SFG
10150-9101,-0.063955954,0.380609024,72.5676651,0.047583672528914045,higher,AGN
10213-12705,-0.364022938,-0.470948671,24.7701025,0.4586052478810839,lower,SFG
10213-1902,-0.452393722,-0.565680426,15.46608901,0.5286771988458958,lower,SFG
10213-3703,-0.444448664,-0.16884673,32.40696621,0.5229313891370068,lower,SFG
10213-9101,-0.281289378,-0.271892078,23.16591787,0.3780625257555551,lower,SFG
10214-12703,0.174797417,0.328423637,6.736116886,-0.8763775831527871,higher,AGN
10214-1902,-0.121166092,-0.238387952,18.00086021,0.15814108884986577,lower,SFG
10214-3701,-0.573683134,-0.826385119,92.164114,0.6055314193282729,lower,SFG
10214-3702,0.100889319,0.15839716,6.648541927,-0.46262083001060605,higher,AGN
10214-6101,-0.6849877,0.144526729,22.04045248,0.6618558474691981,lower,SFG
10214-6103,-0.510036919,-0.119025513,8.801813126,0.5675744687022346,lower,SFG
10215-12702,-0.514337062,-0.601231199,10.09186029,0.5702935767138675,lower,SFG
10215-12703,-0.570257516,0.006083586,21.7072072,0.6036067361997315,lower,SFG
10215-12704,-0.104808659,0.271021234,16.61045408,0.12877729493285162,higher,AGN
10215-1901,-0.375110036,-0.478022027,12.76073456,0.46820050169182925,lower,SFG
10215-1902,-0.034179602,0.27014029,7.275368333,-0.019886313488739704,higher,AGN
10215-3701,-0.545843229,-0.188369249,27.20065165,0.5895136428674271,lower,SFG
10215-3702,-0.184278702,0.040423138,19.75703859,0.25767559736339996,lower,SFG
10215-3703,-0.001141661,0.234210963,6.649216056,-0.10472736226567747,higher,AGN
10215-3704,-0.31163166,-0.490868607,21.47836065,0.40958125391184885,lower,SFG
10215-6101,-0.34437437,-0.022836552,41.03704739,0.4409587451776017,lower,SFG
10215-6102,-0.66991555,0.157010714,302.4025345,0.6548726390301457,lower,SFG
10215-6103,-0.453352017,-0.624688043,57.18999004,0.5293635484959361,lower,SFG
10215-6104,-0.414895217,-0.364292389,40.37941837,0.5006528453526492,lower,SFG
10220-12701,-0.334006558,-0.336115831,12.86973572,0.4312997208413317,lower,SFG
10220-12702,-0.093257961,-0.028037961,14.27024388,0.10701486310639097,lower,SFG
10220-12703,-0.657494587,-0.069348047,29.88371944,0.6489774469578007,lower,SFG
10220-12704,-0.4382638,-0.486938944,29.07119799,0.5183889548388915,lower,SFG
10220-12705,-0.366147933,-0.227865029,11.17069697,0.46046402206438264,lower,SFG
10220-3701,-0.519822198,-0.084925833,27.95603752,0.5737277025787615,lower,SFG
10220-6103,-0.169189902,-0.016933997,7.929009199,0.235667026197795,lower,SFG
10220-6104,-0.346227869,-0.268059645,13.65192509,0.442659676093466,lower,SFG
10220-9102,-0.794623547,0.205390826,29.81471395,0.7076430160207985,lower,SFG
10480-12701,-0.199381103,-1.165241057,13.63574155,0.27871045617193047,lower,SFG
10480-12702,-0.381482247,-0.412198576,38.15831884,0.4736022099706795,lower,SFG
10480-12703,-0.416062455,-0.009585949,196.0375722,0.501560944087175,lower,SFG
10480-12704,-0.446494901,-0.6059908,101.0877686,0.5244207378192494,lower,SFG
10480-12705,-0.313971554,0.320742425,20.44219144,0.4119105439634356,lower,SFG
10481-12701,-0.159477564,0.220938005,12.74516519,0.2209424276795987,lower,SFG
10481-12702,-0.557447967,-1.612598965,152.9697266,0.5962959686599876,lower,SFG
10481-12703,-0.175123527,-0.485832672,12.28044192,0.24444465366707968,lower,SFG
10481-12705,-0.202367742,-0.035523147,64.65830739,0.2827583792382472,lower,SFG
10481-9102,-0.11363204,-0.305181434,35.91596365,0.14482091764530258,lower,SFG
10482-12701,-0.071922284,0.0668828,8.574711164,0.0643773452209615,higher,AGN
10482-12702,-0.447301719,-0.906361656,217.368337,0.5250061518853426,lower,SFG
10482-12703,-0.272088445,-0.522074746,67.02760061,0.3679955555028215,lower,SFG
10482-12704,-0.04852529,-0.15112264,64.5995992,0.01358679168763377,lower,SFG
10482-12705,-0.366136888,-0.151988098,188.6580963,0.46045438521545046,lower,SFG
10482-9101,-0.332040206,0.328538442,170.3868043,0.4294396248010539,lower,SFG
10483-12701,-0.512822464,-0.666992763,26.04054705,0.569338565871445,lower,SFG
10483-12702,-0.378349632,-0.278317154,26.98699506,0.4709568402099571,lower,SFG
10483-12703,0.05240794,0.331089321,16.9397138,-0.27075574329646024,higher,AGN
10483-12704,-0.512446624,-0.387019778,155.4957962,0.5691011286532752,lower,SFG
10483-12705,-0.244793165,-1.648472703,40.66380644,0.33660627735577187,lower,SFG
10483-9101,-0.458810086,-0.369762784,63.98879671,0.5332457192330703,lower,SFG
10484-12701,-0.46760509,-1.57046158,686.1870931,0.5394062622889557,lower,SFG
10484-12702,-0.745681561,0.742981444,7.096514702,0.6882238609441242,higher,AGN
10484-12703,-0.483240464,-0.616606418,388.3455505,0.5500775218455266,lower,SFG
10484-12704,-0.337644365,0.040559506,16.09541384,0.43471707296564865,lower,SFG
10484-12705,-0.271610213,0.017652027,9.553895315,0.3674654807781078,lower,SFG
10484-9102,-0.116476442,-0.463442028,19.30709902,0.1498900206122855,lower,SFG
10485-12701,-0.140515678,-0.252899368,6.038326263,0.19084465971732167,lower,SFG
10485-12703,-0.266652492,-0.770622837,38.05830765,0.36192976793730836,lower,SFG
10485-12704,-0.085652463,-0.809564185,92.7428716,0.09219149447016828,lower,SFG
10485-12705,-0.516329936,-0.664776565,80.89949036,0.5715456900012411,lower,SFG
10485-9102,-0.236320196,0.739293976,15.27507242,0.32636902433977677,higher,AGN
10486-12701,0.015191037,-1.732768197,10.17673743,-0.15122246838833742,lower,SFG
10486-12702,-0.490139452,0.607848001,15.85403633,0.554675622140772,higher,AGN
10486-12703,-0.488064561,-0.770629116,52.14209557,0.5532996931195329,lower,SFG
10486-12704,-0.623046053,-0.581888623,27.006066,0.6319265333553151,lower,SFG
10486-12705,-1.013692189,0.875533842,8.283827146,0.7788635092086476,higher,AGN
10486-9101,-0.343377364,0.448736148,23.1519146,0.440040599851264,higher,AGN
10486-9102,-0.051394262,-2.36593211,7.250257333,0.020060005531859826,lower,SFG
10487-12702,0.007869984,-1.577775335,13.07194138,-0.12997485313743407,lower,SFG
10487-12703,-0.394566602,-0.527728963,18.22475688,0.48444417747702906,lower,SFG
10487-12704,-0.353640338,-0.257071945,45.37764613,0.44938547220595204,lower,SFG
10487-9101,-0.363081024,0.032125434,343.6070557,0.4577783043585445,lower,SFG
10487-9102,0.143900482,0.108751839,9.620746295,-0.6805946078705951,higher,AGN
10488-12701,-0.309832782,-0.427776894,21.640064,0.40778102424014273,lower,SFG
10488-12703,-0.310437237,-0.646443339,77.83868408,0.4083868592113319,lower,SFG
10488-12704,-0.323454633,-0.177564347,393.7663981,0.4212099839991733,lower,SFG
10488-9101,-0.154606958,0.437539579,13.95112419,0.21338583938733513,higher,AGN
10489-12701,-0.455821382,-0.945317764,12.70094268,0.5311256081791379,lower,SFG
10489-12702,-0.051267781,0.918434612,92.75465139,0.019776129977233214,higher,AGN
10489-12703,-0.456761693,-0.50099896,158.9807638,0.5317941153508596,lower,SFG
10489-12704,-0.596157206,-0.844665618,30.92362086,0.6178517309013057,lower,SFG
10489-9101,-0.532626361,-0.736688193,49.79854584,0.5815978835908543,lower,SFG
10489-9102,-0.489816047,-0.813444603,50.73541768,0.5544615529125446,lower,SFG
10490-12702,-0.279929996,-0.414499213,42.04662704,0.3765907441312695,lower,SFG
10490-12703,-0.266118375,-0.175042287,6.019344807,0.36132893198053906,lower,SFG
10490-12704,-0.739281416,-1.515778522,84.22122765,0.6855682011407012,lower,SFG
10490-12705,-0.135058276,0.505371588,31.29256821,0.18183264786878128,higher,AGN
10490-9101,-0.12716441,-1.065204701,14.73397573,0.16850576862073874,lower,SFG
10490-9102,-0.370368553,-1.316160407,91.76940664,0.4641280027407213,lower,SFG
10491-12701,-0.241266648,0.652871324,34.29390971,0.33237508293795315,higher,AGN
10491-12702,-0.321916428,0.277299926,147.218633,0.4197166993484822,lower,SFG
10491-12703,-0.451900384,-0.508405914,17.94923846,0.5283233041369467,lower,SFG
10491-12704,-0.131988995,-0.548451166,134.0143763,0.17669243945231905,lower,SFG
10491-12705,-0.142600017,1.270416767,62.53187561,0.19424423266054203,higher,AGN
10491-9101,-0.680066803,0.161991628,75.56944021,0.6595960283274084,lower,SFG
10491-9102,-0.697454989,0.608137029,20.43671862,0.6674959156905019,lower,SFG
10492-12701,0.084093587,0.169960455,11.3945775,-0.3906941254433107,higher,AGN
10492-12702,-0.070139454,0.526852465,23.65356588,0.06066201981238706,higher,AGN
10492-12703,-0.143553462,-0.016267583,12.17723846,0.19579160940338713,lower,SFG
10492-12704,-0.363473181,-0.408450235,11.8204813,0.45812282157882656,lower,SFG
10492-1901,-0.536358235,-0.494726925,10.54338837,0.5838540185940844,lower,SFG
10492-6102,0.182908376,0.377196912,7.053229332,-0.9347572168806986,higher,AGN
10492-6103,-0.04183372,0.76337317,89.34944916,-0.0017933034970811779,higher,AGN
10492-6104,-0.099694538,0.211786779,6.97371161,0.1192507487582759,higher,AGN
10492-9101,-0.38965385,-0.662194593,45.43126774,0.4804120652748777,lower,SFG
10492-9102,-0.011205591,0.513017122,19.18353224,-0.07764944424762521,higher,AGN
10493-12701,-0.329727135,-0.341418654,23.59894037,0.4272398368100889,lower,SFG
10493-12702,-0.523099231,-0.182017666,8.911814451,0.5757612804857765,lower,SFG
10493-1902,-0.440509079,0.061030339,72.85024834,0.5200451208350884,lower,SFG
10493-3701,-0.461412869,-0.732816839,13.7687068,0.5350809836298278,lower,SFG
10493-3704,-0.141211634,0.889295702,41.42684174,0.19198234773783773,higher,AGN
10493-9101,-0.507918709,-0.411738407,17.32572079,0.566226270766643,lower,SFG
10493-9102,-0.699393248,0.099113588,9.065157175,0.6683619616042114,lower,SFG
10494-12701,-0.154409958,0.583996337,7.252549052,0.21307771971823675,higher,AGN
10494-12705,-0.0431244,0.22400939,6.090438684,0.0012044564631887855,higher,AGN
10494-3701,-0.324950691,-0.302498593,50.00447941,0.42265680889885526,lower,SFG
10494-3704,-0.536966307,-0.320682197,26.64926624,0.5842200491123284,lower,SFG
10494-6101,-0.417082195,-0.617816351,9.26913619,0.5023523350618033,lower,SFG
10495-12704,-0.363340675,-0.520284578,10.23131514,0.4580064488631854,lower,SFG
10495-12705,-0.445541683,-0.448134826,14.13254023,0.5237277686787746,lower,SFG
10495-1901,-0.447896544,-0.419781809,7.348268032,0.525437088212852,lower,SFG
10495-3701,-0.052431117,-0.245472024,7.307793617,0.022381954002177018,lower,SFG
10495-3702,-0.512137565,-0.534784476,9.312317371,0.5689057442273883,lower,SFG
10495-6103,-0.392692646,-0.582420978,12.53716779,0.4829115568234482,lower,SFG
10495-9101,-0.304864885,0.011168838,10.78266096,0.40276597790336044,lower,SFG
10496-12701,-0.168396347,0.047105938,6.159608841,0.23448074794513196,lower,SFG
10496-12703,-0.909445046,-0.039358716,10.44862111,0.7477931851878932,lower,SFG
10496-12704,-0.419085099,-0.375123731,213.7413292,0.5039014469075024,lower,SFG
10496-12705,-0.473705474,-0.496993147,20.26455069,0.5436118876004314,lower,SFG
10496-6101,-0.430169638,-0.13510696,18.34248066,0.5123499502212714,lower,SFG
10496-6102,-0.554721279,-0.213509432,98.53751183,0.5947161774611689,lower,SFG
10496-6103,-0.509880319,-0.196080687,10.67428064,0.5674749954948324,lower,SFG
10500-12702,-0.289387702,0.24443215,11.72408557,0.38672125530418444,lower,SFG
10500-12703,0.057518687,0.212037541,123.4146309,-0.2888548736024801,higher,AGN
10500-12704,-0.402869738,-0.596697461,47.10590935,0.49115574702167064,lower,SFG
10500-3702,-0.275637861,-0.462764441,76.15957832,0.3719084948531066,lower,SFG
10500-3703,-0.423495716,-0.594510561,43.60302353,0.5072882767352854,lower,SFG
10500-6101,-0.404741932,-0.320961656,22.85324764,0.4926514704682067,lower,SFG
10500-9102,-0.367099226,-0.535290925,6.150021553,0.46129307846236134,lower,SFG
10501-12702,-0.397467848,-0.521040982,8.53783989,0.4868039087484427,lower,SFG
10501-12703,-0.678839786,-0.43025245,17.09077215,0.6590295309810936,lower,SFG
10501-12704,-0.460752949,-0.813931226,14.28421855,0.534616634676921,lower,SFG
10501-1901,-0.256084283,-0.156688411,9.743642569,0.34987714610811926,lower,SFG
10501-1902,-0.236696578,-0.449628696,89.94102859,0.32682898857902765,lower,SFG
10501-3701,-0.362076506,-0.336258502,27.35126305,0.45689433531488255,lower,SFG
10501-6102,-0.379996609,-0.720705634,37.93489265,0.4723500781754294,lower,SFG
10501-9102,0.153736095,0.281293311,9.276480198,-0.7387689500956487,higher,AGN
10502-1901,-0.585018991,0.134635733,220.2649574,0.6118113558109399,lower,SFG
10502-6103,-0.104690836,-0.033918523,14.31081915,0.12855972326658072,lower,SFG
10502-6104,-0.332440564,-0.309108251,8.896912336,0.4298190877100275,lower,SFG
10504-12701,-0.317635347,-0.239568737,15.26356363,0.41552993295259,lower,SFG
10504-12704,-0.313581842,0.497199834,17.88768959,0.4115235635845681,higher,AGN
10504-9101,-0.234995803,-0.481365448,48.59171009,0.32474662203059945,lower,SFG
10504-9102,-0.296093947,-0.086478502,18.35521078,0.3937530091593322,lower,SFG
10505-12701,-0.198073525,-0.1881526,9.597764254,0.27692684686165336,lower,SFG
10505-12703,-0.29554997,0.022939128,9.50186189,0.3931872197709052,lower,SFG
10505-12704,-0.456903017,-0.671611318,25.21068478,0.5318944713608587,lower,SFG
10505-6101,-0.20837892,0.199250258,6.12207524,0.2907975306779874,lower,SFG
10505-6104,-0.827584048,0.205876388,16.28902817,0.7198955771379828,lower,SFG
10505-9101,-0.445936272,-0.497776815,9.32679987,0.5240148014140441,lower,SFG
10506-12702,-0.164253284,0.002319719,18.37030935,0.2282391145806033,lower,SFG
10506-12703,-0.527116201,-0.188894979,24.53389311,0.5782357949973775,lower,SFG
10506-12704,-1.05761638,0.288631306,55.46518135,0.7906850882287606,lower,SFG
10506-1901,-0.225867961,-0.159613189,22.24033308,0.31339691696195227,lower,SFG
10506-3703,-0.619106982,-0.048861026,19.97649479,0.6299080989456002,lower,SFG
10506-6101,-0.424378907,-0.513000116,9.738661051,0.5079624483250476,lower,SFG
10506-6104,-0.479028348,-0.394467512,7.314393163,0.5472373245904346,lower,SFG
10506-9101,-0.144404309,-0.125007514,10.39136028,0.1971684214050653,lower,SFG
10506-9102,-0.405763065,-0.11939507,7.530766487,0.4934645734916897,lower,SFG
10507-12702,-0.669297843,0.053022104,6.473963499,0.6545825025054488,lower,SFG
10507-12704,-0.203561568,-0.026269688,24.47295427,0.28436638166386596,lower,SFG
10507-12705,-0.302431318,-0.326012443,14.7921772,0.40028577455995895,lower,SFG
10507-1902,-0.418299606,-0.549660746,43.62233829,0.5032947533920216,lower,SFG
10507-3702,-0.369068288,-0.322236969,9.311963558,0.46300315275411763,lower,SFG
10507-3704,-0.403915406,-0.296665751,27.75229836,0.49199193673443486,lower,SFG
10507-6102,-0.465517093,-0.385937278,26.15468264,0.5379541907204896,lower,SFG
10507-6104,0.195120245,0.12063346,22.27277231,-1.0291521525475753,higher,AGN
10507-9101,-0.452470134,-0.31944706,23.88317251,0.528731978936892,lower,SFG
10507-9102,-0.235909116,-0.255118939,36.22080994,0.32586609639419917,lower,SFG
10508-12701,-0.210008487,-0.40831113,19.7895155,0.29295237241649297,lower,SFG
10508-12702,-0.601390554,-0.691876111,22.86889744,0.6206464643331174,lower,SFG
10508-12703,-0.09964584,0.629992773,39.46365738,0.11915921232743476,higher,AGN
10508-1901,-0.706552922,0.015387491,39.53092766,0.6715362840091608,lower,SFG
10508-6101,0.275327414,0.363555654,33.64364433,-1.943466362849878,higher,AGN
10508-6103,-0.149075519,0.405588022,55.84012508,0.20465979306476156,higher,AGN
10508-6104,-0.181352175,-0.213812235,44.11587238,0.2534866614209125,lower,SFG
10509-12701,-0.504938927,-0.525103591,33.54484272,0.5643197823918666,lower,SFG
10509-12703,-0.143907608,-0.129185275,70.76451111,0.19636514020852458,lower,SFG
10509-1901,-0.456922248,-0.713920234,122.5603294,0.5319081251785855,lower,SFG
10509-1902,-0.658382541,0.075090782,8.749899626,0.6494031918826011,lower,SFG
10509-3701,-0.433586427,-0.439823651,7.24905479,0.5149123915846513,lower,SFG
10509-3703,-0.5677822,-0.171746732,28.27689695,0.6022080721754526,lower,SFG
10509-3704,-0.3700468,-0.63925642,57.04135323,0.4638499807391683,lower,SFG
10509-6101,-0.426633941,-0.490258352,26.54639482,0.5096777724924423,lower,SFG
10509-6102,-0.479256402,-0.263837946,45.72768116,0.5473917450387656,lower,SFG
10509-6103,-0.5296433,-0.014704635,16.91794443,0.5797823353590226,lower,SFG
10509-6104,-0.424537174,-0.444591672,20.42699242,0.5080831185893231,lower,SFG
10509-9101,-0.316652699,-0.365861625,18.41337538,0.41456250289938934,lower,SFG
10510-12703,-0.484751017,-0.293354199,8.590474447,0.5510899709573182,lower,SFG
10510-12704,0.051155146,1.076198988,164.4540825,-0.26638652158300125,higher,AGN
10510-12705,0.112928212,-0.036885833,7.308109283,-0.5183399487164191,higher,AGN
10510-3704,-0.235145511,0.330023247,11.68738699,0.32493032220409324,higher,AGN
10510-6103,0.192727463,0.285222111,86.97163963,-1.0100015097059543,higher,AGN
10510-9102,0.376994076,0.463436777,6.730264346,-5.368722001407139,higher,AGN
10838-12701,-0.676732606,-0.033696368,24.15870333,0.6580538455012763,lower,SFG
10838-12704,-0.750749163,0.158137544,19.60423231,0.6903068455923241,lower,SFG
10838-12705,-0.097017712,0.720340883,9.90929091,0.11419586356766209,higher,AGN
10838-3702,-0.745207141,0.131945103,71.35241699,0.6880279662461266,lower,SFG
10838-6102,-1.178569788,0.470480724,49.02115822,0.8199823007553502,lower,SFG
10838-6103,-0.786433517,0.157183838,14.54149532,0.7044987842599872,lower,SFG
10838-9101,-0.268269749,-0.214046706,17.02518559,0.3637437422754267,lower,SFG
10838-9102,-0.446949318,-0.446593919,10.30507278,0.5247505821472239,lower,SFG
11011-12703,-0.249496988,-0.378677299,14.09997201,0.3421854709974129,lower,SFG
11011-12705,-0.382913392,-0.435052261,8.986297369,0.47480428878058933,lower,SFG
11011-1902,-0.057356236,0.423960373,170.9762268,0.03328664694125272,higher,AGN
11011-6104,-0.521063496,-0.398073048,7.316204071,0.5744995780169467,lower,SFG
11012-12703,-0.440190199,-0.468044611,6.67900002,0.5198104059237403,lower,SFG
11012-3702,-0.361426188,-0.460947876,27.45208025,0.45632092084162257,lower,SFG
11012-6101,-0.456602469,-0.656474956,11.06127095,0.5316810116442717,lower,SFG
11012-6102,-0.46428044,-0.569518921,11.3772223,0.5370911153828715,lower,SFG
11012-9102,-0.26932879,-0.211346636,13.19524908,0.3649273012890516,lower,SFG
11013-12701,-0.644568854,0.028901435,8.696285248,0.6427031705481336,lower,SFG
11013-12702,-0.409594095,-0.398594701,10.81573749,0.49649830021880714,lower,SFG
11013-12704,-0.427776401,-0.191246915,6.517822862,0.5105435124820127,lower,SFG
11013-12705,-0.629576487,-0.062086115,11.73820996,0.6352409566666188,lower,SFG
11013-1902,-0.494277783,-0.127153976,32.86754131,0.557402204267108,lower,SFG
11013-3701,-0.334020238,-0.211911632,17.85481358,0.4313126297450238,lower,SFG
11013-3702,0.095263157,0.13577594,56.64973736,-0.4378089848774225,higher,AGN
11013-3703,-0.59994121,-0.105802524,41.50158024,0.6198752171626327,lower,SFG
11013-3704,-0.558153262,-0.284387936,10.99226356,0.5967032391519077,lower,SFG
11013-6101,0.00256274,0.382208411,247.4845581,-0.11498796779700449,higher,AGN
11013-6102,-0.70893057,0.179259301,68.93374252,0.6725819131995193,lower,SFG
11013-9102,-0.538467009,-0.22100656,25.50685406,0.5851215116051455,lower,SFG
11016-9101,-0.38343837,-0.43764504,8.421699524,0.47524422917614995,lower,SFG
11016-9102,-0.41923171,-0.640440806,13.69329643,0.5040145665745546,lower,SFG
11017-12701,0.045256951,0.618521333,19.72706366,-0.2461624079220659,higher,AGN
11017-12703,-0.44381371,-0.593388545,17.36330032,0.5224678834157565,lower,SFG
11017-12704,-0.189940618,0.034798995,13.37128735,0.26567441166350514,lower,SFG
11017-12705,-0.447157404,-0.607588662,10.16014194,0.5249015148985265,lower,SFG
11017-3704,-0.500604735,0.342394522,29.00527048,0.5615258353855032,lower,SFG
11017-6101,-0.413750514,-0.622993296,22.86536503,0.4997599488355148,lower,SFG
11017-6103,-0.491527889,-0.642168941,123.2716255,0.5555930244161643,lower,SFG
11017-6104,0.039212996,0.25366662,10.26480007,-0.22601300488628495,higher,AGN
11017-9101,-0.317849073,-0.476544975,38.88635921,0.41574002952466493,lower,SFG
11018-12701,-0.358567886,-0.093340335,7.301071525,0.4537899557695384,lower,SFG
11018-12702,0.216971353,0.503462942,21.51996708,-1.220794221256695,higher,AGN
11018-12704,-0.39150971,-0.363091769,20.15453863,0.4819406561302716,lower,SFG
11018-1902,-0.5031261,-0.343610532,16.51025105,0.5631542088944074,lower,SFG
11018-3702,-0.39406934,-0.538355083,11.48275948,0.4840381381892336,lower,SFG
11018-3703,-0.452387622,-0.478316414,102.8568897,0.5286728253384996,lower,SFG
11018-6102,-0.056072274,-0.131363111,10.21592045,0.030463506350840275,lower,SFG
11018-6103,-0.059567561,0.017069964,17.32703447,0.03811675615455612,lower,SFG
11018-6104,-0.882241177,0.209773752,13.83534288,0.7388970382093312,lower,SFG
11018-9102,-0.650316455,0.212822467,53.84598255,0.6455109877414056,lower,SFG
11019-12702,-0.440284448,-0.698847774,75.95968628,0.5198797959909779,lower,SFG
11019-12703,-0.213078054,-0.010515921,8.63596797,0.29698346048751845,lower,SFG
11019-6101,-0.463906432,-0.3790046,22.63692856,0.5368296404237635,lower,SFG
11019-6104,-0.332620547,-0.381804607,9.639121771,0.429989553868224,lower,SFG
