plateifu,Predicted_Class,Actual_Class,Type
11831_1901,S,S,SABa       
11980_1902,S,S,SBa        
9186_3703,S,S,SABb       
11017_3702,E,E,Edc        
10502_12704,S,S,Sb         
10495_3701,E,E,Edc        
7993_1902,E,E,E          
8081_1901,S,S,Sb         
10223_3701,S,S,S          
11011_12701,E,E,E          
9089_12703,S,S,S          
8941_3701,S,S,Sa         
7981_12705,E,E,E          
8623_3704,S,S,Sbc        
8989_12703,E,E,E          
8937_12703,S,S,Sc         
9881_9102,S,S,SABdm      
11948_6103,E,E,Edc        
11963_3702,E,E,Edc        
9499_6102,S,S,SABc       
7959_6104,E,E,Edc        
8438_12702,S,S,SABc       
8077_12704,S,S,Sc         
8146_1902,S,S,Sa         
11025_12701,S,S,Sc         
9048_3702,E,E,Edc        
8944_12705,S,S,SBbc       
8561_9102,S,S,Sab        
8444_12701,S,S,SBcd       
10838_3703,E,E,Edc        
12621_3701,E,S,SBa        
11951_6103,E,E,E          
9192_1902,S,S,SABab      
7959_3702,S,S,SABb       
9488_12701,S,S,Sc         
8336_9101,S,S,Sc         
9489_12701,E,E,Edc        
8259_12701,S,S,Scd        
8132_12702,S,S,SABc       
10224_12705,S,S,Sb         
11759_12702,S,S,Sc         
11962_6101,E,E,E          
8944_1901,S,S,SBcd       
8725_12705,S,S,Sab        
8256_9101,S,S,Sb         
10845_12702,S,S,SABc       
10840_6104,E,E,E          
8995_12702,S,S,SBdm       
8947_12704,S,S,SBb        
8323_6103,S,S,Sb         
8261_6103,S,S,SABab      
12092_12705,S,S,Sd         
11834_1901,E,E,Edc        
8093_1901,S,S,SBm        
8996_12705,S,S,Sb         
8591_9102,S,S,SABcd      
8145_9102,S,S,SBbc       
11746_9101,S,S,Sa         
8448_3702,S,S,SABbc      
11956_9101,S,S,Sc         
10501_9101,E,E,E          
7975_12703,S,S,Sc         
8936_6101,S,E,Edc        
7958_3703,S,S,SABa       
8613_6103,E,E,Edc        
7977_9101,S,S,SABa       
8445_1902,E,E,Edc        
12620_12701,S,S,SABb       
12490_6104,S,S,Sbc        
9487_6103,S,S,Sb         
8461_6102,S,S,Sab        
8458_6103,E,E,E          
12092_1902,S,S,Sbc        
9184_12702,S,S,Scd        
12682_6101,E,E,E          
11942_6103,S,S,Sbc        
8610_12704,S,S,SABm       
9002_6102,E,E,E          
8241_6101,S,S,Sc         
12484_1901,S,S,Sa         
8088_3702,E,E,E          
10500_6102,S,S,SABa       
8615_12704,E,E,E          
8312_6102,S,S,SABab      
8615_12702,S,S,SBcd       
8313_12701,S,S,SABbc      
9001_12705,S,E,E          
9187_12702,S,S,SABcd      
12085_3703,E,S,Sab        
8239_1902,S,S,Sc         
12067_9101,S,S,SABab      
11753_9102,E,E,E          
10515_12701,S,S,Sbc        
8597_3704,E,E,E          
12066_9101,S,S,Sb         
12093_6104,S,S,Sa         
8482_1902,S,S,SBb        
9192_6102,S,S,Sab        
9088_12701,S,S,Sbc        
10520_12703,S,S,SBcd       
