plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_stellar_vel_lo,avg_stellar_vel_hi,avg_stellar_sigma_1re,avg_ha_z,avg_ha_gsigma_1re,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_h12_3751,avg_emline_sflux_cen_h11_3771,avg_emline_sflux_cen_hthe_3798,avg_emline_sflux_cen_heta_3836,avg_emline_sflux_cen_neiii_3869,avg_emline_sflux_cen_hzet_3890,avg_emline_sflux_cen_heps_3971,avg_emline_sflux_cen_hdel_4102,avg_emline_sflux_cen_hgam_4341,avg_emline_sflux_cen_heii_4687,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_ni_5199,avg_emline_sflux_cen_hei_5877,avg_emline_sflux_cen_oi_6302,avg_emline_sflux_cen_oi_6365,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851,avg_emline_sflux_cen_sii_6718,avg_emline_sflux_cen_sii_6732,avg_emline_sflux_cen_hei_7067,avg_emline_sflux_cen_ariii_7137,avg_emline_sflux_cen_ariii_7753,avg_emline_sflux_cen_peta_9017,avg_emline_sflux_cen_siii_9071,avg_emline_sflux_cen_pzet_9231,avg_emline_sflux_cen_siii_9533,avg_emline_sflux_cen_peps_9548
8598-12705,2.353189051,5.88676101,9.786547661,19.36100531,2.48260659,47.65987396,-126.1392021,130.9743347,102.8187618,0.121342767,42.86777306,5.47213459,1.684333295,2.396130264,0.50256541,0.812361293,3.161295593,1.679657489,0.08214372,-1.732998699,3.705610871,3.141381621,5.88676101,0.236800611,2.353189051,4.044146478,-3.339408815,1.764327019,1.785427749,4.381759822,19.36100531,9.786547661,5.307057858,0.95266673,2.744038165,-1.515845031,1.515381724,7.011262059,-3.974609256,-999,-999,-999
8598-1901,5.355270267,15.39256263,18.58075285,61.34068489,4.92077136,49.09814072,-35.44892311,42.81292629,47.04665089,0.037205409,22.63074303,19.63745165,3.791341066,-1.232784808,-0.231384195,0.828019612,1.871627681,1.772868201,0.276074022,3.577815771,7.448120832,2.176612616,15.39256263,1.238337129,5.355270267,-0.725238129,0.607310683,0.975809932,-0.416629009,8.484046459,61.34068489,18.58075285,8.983511209,7.678216219,-0.403169729,-3.161272228,0.261684658,9.395155191,12.48265553,-6.290396929,25.67996788,13.92678738
8598-1902,80.27866745,1.638485551,-21.5270009,26.33227921,1.730178893,48.41579437,-122.5072918,112.1677494,107.6020889,0.026830906,153.8998394,64.59381866,8.229992867,-7.423075557,3.115796924,-6.521646738,27.39865983,24.58422327,-13.20315289,-2.844274879,-2.431187108,0.544314206,1.638485551,31.110847,80.27866745,6.523451209,-5.93785879,-7.877566218,-3.477259934,16.74409771,26.33227921,-21.5270009,42.32539368,22.81879282,-6.687463164,34.139184,3.069722667,5.589296639,-22.88488293,-13.6820004,27.06745052,3.78172648
8598-3701,53.84860802,21.61337042,46.62063599,42.8574028,2.711066067,47.5512619,-39.14712524,47.62827778,240.2804489,0.057049353,143.1536064,59.78486919,0.669040531,-1.690220237,2.892561466,-5.623589277,10.72588861,9.71570015,1.399390295,-4.752567172,8.578911681,-3.829596654,21.61337042,21.07954121,53.84860802,17.41064405,8.944203138,13.1568346,-1.62331906,12.94423652,42.8574028,46.62063599,29.4808588,17.91357517,-0.682864144,11.55083799,-2.090648472,20.50987625,30.8748517,8.335987806,10.86123061,0.432443142
8598-3702,221.0879402,135.390461,84.13418007,448.5441742,42.40321827,49.20504379,-82.76250839,50.01154399,66.12824249,0.038250816,37.89242744,430.5136719,0.09986712,-1.411494344,0.115064114,10.25555539,16.91708255,24.70776892,22.27497101,33.32496452,60.7480402,0.900909424,135.390461,68.79491043,221.0879402,6.064642072,12.84568834,18.21378136,8.259550571,29.98997593,448.5441742,84.13418007,89.19393539,60.06755924,2.560933828,10.80809331,2.418038309,2.285045445,36.8637352,1.953592815,77.19653702,9.967157841
8598-3703,46.51259899,68.00003433,60.34894085,227.2956276,19.88161945,49.16783524,-84.16107845,51.76482391,56.67555904,0.036841452,26.53776836,157.6910706,-0.369916282,3.608401895,-0.831564754,7.702422142,9.751663446,10.2854383,7.784185767,17.49082947,30.80937195,-0.91112417,68.00003433,13.97723746,46.51259899,0.630835459,7.760671377,8.32311511,2.962672412,18.49714518,227.2956276,60.34894085,47.01348305,32.44738293,2.646801412,3.216707826,1.772416592,-2.486986637,14.55472302,0.292725816,47.98720455,8.581071377
8598-3704,10.32911809,11.09119542,-2.26793774,1.845009883,0.220397249,48.02371216,-93.02394104,109.9149246,201.6934052,0.072763893,344.427948,4.292039315,2.119853338,-2.673763434,3.210018635,-0.898937841,5.480517546,1.183624208,0.207199286,-4.339098295,5.309693336,-3.718993982,11.09119542,-0.74258705,10.32911809,-1.086302201,1.298906604,7.910640081,0.431701829,0.213621229,1.845009883,-2.26793774,0.050573202,1.87626644,1.5708733,-0.159294732,2.372102102,2.009701053,-1.040322344,1.53998059,-4.978811105,-4.048559984
8598-6101,9.376729846,10.33563036,20.35444689,13.20541906,1.208616883,48.66202164,-24.716408,90.23696136,250.3174019,0.076141041,558.5783997,1.222184278,0.957933038,-3.64598,1.95262903,-4.516185999,0.659298867,-2.124709368,0.545957223,-5.379851669,7.432054877,-6.106481671,10.33563036,-3.626425862,9.376729846,4.951419294,-8.39170897,-0.924802497,1.873581052,8.474832535,13.20541906,20.35444689,2.492368042,3.665783286,3.107734323,-2.432744026,-0.846255049,-1.067607507,3.71769461,-14.51711321,21.7018218,18.90096092
8598-6102,3.00388964,8.646167755,2.933992465,4.965371927,1.068846544,48.68441772,-132.2903646,188.0296885,203.870519,0.072848904,277.5893453,-1.916922291,-0.737797002,-1.466599425,-0.686205496,-4.552704652,-1.588343064,-3.415746212,-3.091459672,-4.071845531,8.09468619,-2.564274549,8.646167755,-3.520388921,3.00388964,-0.441102217,-5.163231691,-0.732602417,-0.069722284,0.450612605,4.965371927,2.933992465,1.396730979,0.296399772,0.652278443,4.59959205,1.056416631,8.441865921,-2.093315363,2.572856029,10.40007464,32.29222234
8598-6103,25.91842461,40.09678268,47.50901604,162.1111145,9.583910704,48.62976837,-86.48277283,75.18663597,48.04586887,0.018888425,25.0325408,99.74863052,1.265929252,-1.801507264,-3.798574865,-1.159393579,-0.939654384,5.807324648,8.035314322,10.7425313,12.74572659,0.481191561,40.09678268,6.413997412,25.91842461,1.125999108,-0.485628549,5.744787455,2.623277724,14.48756099,162.1111145,47.50901604,38.99429703,28.16416836,-0.011108045,1.290443361,-0.833892703,0.301039122,11.54354715,-10.59680676,42.77955532,8.096192002
