plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,log(N/Ha),log(O/Hb),KL log(O/Hb),gz2_class
10494-6102,15.12329721,4.698553801,32.70337677,17.96165228,1.624084085,0.260246313,0.507682283,-1.718172959,E
10494-6103,2.15423125,42.13488674,-1.481201097,16.61661959,0.938302189,-1.049928652,-1.291349509,0.788665372,S
10494-6104,20.08960748,23.18911576,18.10557652,26.40549946,3.066973746,-0.163882028,-0.062312737,0.227675825,E
10494-9101,27.30491686,5.345109999,27.81639099,22.7226963,4.840157509,0.087840918,0.708284211,-0.406193913,S
10494-9102,10.09061265,12.1611445,34.22305012,62.50368118,4.04579556,-0.261586883,-0.081056914,0.356196095,S
10495-12701,4.502142191,6.197350621,11.61381817,21.87807655,1.943267524,-0.275034115,-0.13878686,0.371245546,S
10495-12702,11.51946195,6.57948796,5.679871718,4.549641132,1.019897461,0.096361385,0.243240098,-0.442593571,S
10495-12704,8.927222729,29.58018923,54.40205383,125.5902634,10.23131514,-0.363340675,-0.520284578,0.458006449,S
10495-12705,16.66931581,46.77917957,79.77360916,222.5363312,14.13254023,-0.445541683,-0.448134826,0.523727768,S
10495-1901,7.799447298,20.50433254,37.20073891,104.3393459,7.348268032,-0.447896544,-0.419781809,0.525437088,S
10495-1902,8.482507586,8.415449239,20.46128654,8.055263415,0.85996823,0.404853191,0.003446952,-8.173466992,E
10495-3701,23.03557444,40.53881693,107.0431557,120.7786083,7.307793617,-0.052431117,-0.245472024,0.022381955,E
10495-3702,13.90097046,47.62440872,54.74070263,178.0114479,9.312317371,-0.512137565,-0.534784476,0.568905744,S
10495-3703,7.704958439,4.089072704,-1.242546797,2.877247492,0.572810113,-0.364664466,0.275145468,0.459167402,E
10495-6102,18.100914,8.455433846,23.2209177,15.40256143,1.106195748,0.17828643,0.330564609,-0.901092299,S
10495-6103,15.80937219,60.44155121,97.09036446,239.8108215,12.53716779,-0.392692646,-0.582420978,0.482911556,E
10495-6104,9.525897662,0.331328978,1.133451939,2.361923377,0.390573929,-0.318862695,1.45864649,0.416734888,E
10495-9101,38.35085392,37.37715149,81.63423538,164.7165413,10.78266096,-0.304864885,0.011168838,0.402765978,S
10495-9102,8.571856737,5.781285226,18.95272827,21.86340094,1.348857224,-0.062045983,0.171050508,0.043482557,S
10496-12701,17.004426,15.18503022,61.38413525,90.3569088,6.075223804,-0.167905223,0.049146316,0.233745092,S
10496-12702,14.53729939,9.916735172,38.23629951,22.85151196,3.115649879,0.223560915,0.166115019,-1.285256712,S
10496-12703,9.629106164,10.54155564,3.43532455,27.67906618,8.961806655,-0.906183661,-0.039318731,0.74674521,S
10496-12704,296.0056381,702.1399994,1365.643402,3584.449036,213.7413292,-0.419085099,-0.375123731,0.503901447,S
10496-12705,19.71965933,61.92878437,102.0619411,303.7870789,20.26455069,-0.473705474,-0.496993147,0.543611887,S
10496-1901,28.40248823,7.169723958,36.69828892,35.72082376,2.182699114,0.01172435,0.597853953,-0.141076612,S
10496-1902,10.33679438,10.02104354,23.73185873,19.5045352,1.174541712,0.085196149,0.013472928,-0.395223221,S
10496-3701,2.139541547,8.377664566,2.04426976,3.020431042,0.406317582,-0.169530721,-0.592802243,0.236175609,S
10496-3703,11.70456529,5.076512456,1.446586445,9.225075543,1.234702408,-0.80462554,0.362789832,0.711428074,E
10496-3704,10.25634646,12.15540767,20.40557194,18.73074841,1.301838338,0.037193641,-0.073776846,-0.21940628,E
10496-6101,42.10279751,57.46691895,112.6482105,303.315033,18.34248066,-0.430169638,-0.13510696,0.51234995,S
10496-6102,166.7415047,272.6171341,304.2755814,1091.411133,98.53751183,-0.554721279,-0.213509432,0.594716177,S
10496-6103,37.37995911,58.71100426,61.10133743,197.6655731,10.67428064,-0.509880319,-0.196080687,0.567474996,E
10496-6104,9.106035948,8.99113825,3.676717997,6.327926308,0.801459402,-0.235801092,0.005514685,0.325733839,E
10496-9101,6.518740177,4.36589551,7.649632692,4.686978996,0.456386454,0.212747575,0.174090334,-1.181211857,E
10496-9102,6.168938637,9.885703802,15.61910033,40.60861206,2.658899784,-0.414962132,-0.204797144,0.500704969,S
10499-9101,8.048719724,9.590886116,3.588500261,4.886630217,0.382967283,-0.134096494,-0.07613193,0.180227545,E
10500-12701,8.385715842,2.591746509,14.49814057,22.89494419,2.010529816,-0.198427283,0.50994762,0.277410081,S
10500-12702,37.04607582,21.10134125,44.10963535,85.88576126,11.72408557,-0.289387702,0.24443215,0.386721255,S
10500-12703,774.519165,475.3293457,2196.054688,1923.642944,123.4146309,0.057518687,0.212037541,-0.288854874,S
10500-12704,36.25151539,143.2265816,281.5368042,711.8769226,47.10590935,-0.402869738,-0.596697461,0.491155747,S
10500-12705,14.72616291,19.57971954,-9.144421895,9.189707438,1.54438146,-0.002145431,-0.123716866,-0.101974804,E
10500-1901,49.79342556,19.6950798,66.26764107,86.20366859,5.008496284,-0.114224237,0.40281426,0.145880361,S
10500-1902,7.012883663,3.039872661,2.522213042,1.243368689,0.267681982,0.30718184,0.363041243,-2.556510841,E
10500-3702,96.85688591,281.1220703,638.0653076,1203.657684,76.15957832,-0.275637861,-0.462764441,0.371908494,S
10500-3703,47.60864639,187.1528282,298.7001724,792.0109558,43.60302353,-0.423495716,-0.594510561,0.507288277,E
10500-6101,17.00350904,35.60411644,78.87247467,200.2937508,22.85324764,-0.404741932,-0.320961656,0.492651471,E
10500-6102,4.367974043,7.016943455,11.84450626,27.41679192,2.042866915,-0.364499674,-0.205867928,0.459023082,E
10500-6104,25.36073446,22.13280296,44.71508121,91.88025856,5.690585136,-0.312768185,0.059125409,0.410714367,S
10500-9101,6.819521964,7.79591471,7.035937071,8.575518906,1.84639059,-0.085938462,-0.058113147,0.092756256,E
10501-12701,12.21346211,16.22356129,47.25296593,68.65534019,5.46792984,-0.16224525,-0.123307404,0.225184528,S
10501-12702,10.90227723,36.18746853,53.39839745,133.3509369,8.53783989,-0.397467848,-0.521040982,0.486803909,S
10501-12704,9.708437681,63.2529192,90.59645844,261.7364273,14.28421855,-0.460752949,-0.813931226,0.534616635,S
10501-1901,22.19847393,31.84282064,86.51104927,156.0112305,9.743642569,-0.256084283,-0.156688411,0.349877146,E
10501-1902,106.4667263,299.8075714,797.9360504,1376.146484,89.94102859,-0.236696578,-0.449628696,0.326828989,S
10501-3701,37.35072422,81.01352501,204.4336243,470.5749817,27.35126305,-0.362076506,-0.336258502,0.456894335,E
10501-3702,21.23463202,13.69778079,23.0810504,27.70679569,1.662606925,-0.079330733,0.190394528,0.07955785,E
10501-3703,4.868432045,10.14630961,18.68367529,41.76786041,3.110847652,-0.349379918,-0.318918998,0.445534598,S
10501-3704,31.27983379,11.98595119,58.71865654,25.34516287,1.725622922,0.364881024,0.416591932,-4.612948471,E
10501-6102,31.93845797,167.88797,284.2297516,681.8143616,37.93489265,-0.379996609,-0.720705634,0.472350078,S
10501-6103,14.04873228,7.826347828,31.17433214,22.10504341,1.363259852,0.149305786,0.254077991,-0.712123498,S
10501-6104,28.11918736,15.08843684,61.34050179,37.08869457,2.319940448,0.218505777,0.270358516,-1.235503028,E
10501-9101,10.98035145,5.798407167,31.64177513,18.96111655,1.219946697,0.222396932,0.277307532,-1.273620524,E
10502-12702,9.682426929,5.633615971,7.806846619,14.73229003,0.893185511,-0.275794613,0.235196989,0.372080443,E
10502-12703,2.928921461,7.785382271,18.59213114,31.31283283,2.750624418,-0.226393185,-0.424572216,0.314058057,S
10502-12704,16.39859104,18.02578497,35.86238098,52.66470051,3.590447426,-0.166880499,-0.041087651,0.232206503,S
10502-1901,1402.418304,1028.588913,930.6376495,3579.312439,220.2649574,-0.585018991,0.134635733,0.611811356,S
10502-3701,51.31679058,5.841037512,79.81561089,28.86355746,2.351846516,0.441737985,0.943769492,-20.39374038,E
10502-3703,2.962765336,1.928745657,8.058643103,6.863558054,0.817894474,0.069712611,0.186422294,-0.333905116,E
10502-3704,24.84435987,12.14522004,31.96549416,25.3169589,1.620061994,0.101269886,0.310822424,-0.464326503,E
10502-6102,9.913594604,22.3499217,10.60970557,15.31784725,2.099180698,-0.159494403,-0.353044851,0.220968349,E
10502-6103,16.15226293,17.46432877,39.9950161,50.89753056,14.31081915,-0.104690836,-0.033918523,0.128559723,S
10502-6104,8.978209734,18.29355025,50.10516357,107.7266235,8.896912336,-0.332440564,-0.309108251,0.429819087,E
10502-9101,20.27047968,14.76248288,41.01194572,64.57790756,3.666087747,-0.197173595,0.137704619,0.275695231,E
10502-9102,21.13748598,6.863137722,30.61117268,25.09981108,1.532778054,0.086209515,0.488530619,-0.399408865,S
10504-12701,42.17275524,73.21510887,125.3115139,260.3912125,15.26356363,-0.317635347,-0.239568737,0.415529933,E
10504-12702,23.30774307,23.94419797,11.70151679,0.81325841,2.303996881,1.158013597,-0.011700073,2.076610385,E
10504-12703,8.639503717,15.43602109,11.65337634,43.59258556,5.2773844,-0.572960857,-0.252046567,0.60512666,E
10504-12704,275.0420609,87.53853607,153.3468361,315.6869736,17.88768959,-0.313581842,0.497199834,0.411523563,S
10504-12705,4.992341757,3.285394251,3.340399563,4.42263639,0.507969402,-0.121882817,0.181716815,0.159390591,E
10504-1901,5.772591352,5.445008636,0.328853395,2.409392502,0.461524278,-0.864905225,0.025372242,0.73303872,E
10504-1902,11.26808071,13.42856153,14.49837208,10.05886714,2.074285348,0.158770169,-0.076179544,-0.769966365,E
10504-3701,1.269374043,1.166070879,1.072799265,0.725757226,0.189136982,0.169727099,0.036864664,-0.84148535,E
10504-3702,7.24023819,9.34786574,4.806622664,2.486698548,0.726445635,0.286216889,-0.110959612,-2.1291298,E
10504-3703,56.68854523,35.68374395,86.42716408,86.27386093,5.813078046,0.000771029,0.201024898,-0.110004981,S
10504-3704,29.33273697,28.54867387,48.05863571,34.89103842,2.122714698,0.139057543,0.011766648,-0.653220738,E
10504-6101,0.341737144,4.380078256,2.504223347,1.644554004,0.248764813,0.182624921,-1.107789685,-0.932661441,E
10504-6103,53.54815197,14.28799391,-17.56815434,28.52567148,2.221352935,-0.210509738,0.573773231,0.293613122,E
10504-6104,9.257218361,5.920315921,13.80453229,16.71663547,1.674058676,-0.083127175,0.194135626,0.087179478,S
10504-9101,28.90508461,87.56684303,443.5999985,762.0567932,48.59171009,-0.234995803,-0.481365448,0.324746622,E
10504-9102,10.31390071,12.58639765,15.03653955,29.73321342,18.35521078,-0.296093947,-0.086478502,0.393753009,S
10505-12701,19.88947868,30.67439461,91.73116112,144.7406158,9.597764254,-0.198073525,-0.1881526,0.276926847,S
10505-12702,3.957672596,12.18940043,-1.956029832,6.107747078,0.72199744,-0.49450557,-0.488542481,0.557551605,E
10505-12703,24.80489683,23.50042295,39.55119896,78.03866959,8.390240788,-0.295150204,0.023461746,0.392770911,S
10505-12704,19.5392518,91.73165894,144.9001732,414.9272156,25.21068478,-0.456903017,-0.671611318,0.531894471,S
10505-12705,25.11192195,38.76187642,1.109713356,11.85061169,1.081367215,-1.028529955,-0.18852484,0.782934397,E
10505-1901,13.54387355,12.92712241,18.17997932,15.68137264,1.145344719,0.06420931,0.020241029,-0.313238035,E
10505-3701,15.22646022,7.023159623,31.67630672,27.53316736,1.945168257,0.060878365,0.336066413,-0.300999125,E
10505-3702,1.498695046,3.826710582,1.462587923,2.364952862,0.241328146,-0.208700506,-0.407112346,0.291223596,E
10505-3703,8.480773211,21.01524115,23.21041441,61.16321087,4.126712441,-0.420807382,-0.394098928,0.505227947,E
10505-6103,9.957823992,4.13847965,9.871148109,17.58478856,1.325032145,-0.250769483,0.381323622,0.343682259,E
10505-6104,118.6301098,73.84456635,37.77137375,253.9491882,16.28902817,-0.827584048,0.205876388,0.719895577,E
10505-9101,12.66856098,39.85695362,49.09286976,137.0738754,9.32679987,-0.445936272,-0.497776815,0.524014801,S
10505-9102,2.859779477,3.662315845,-1.006460294,0.843788404,0.147178821,0.076563094,-0.107423251,-0.360439194,E
10506-12702,10.37996554,10.32467031,18.3005867,26.71273136,18.37030935,-0.164253284,0.002319719,0.228239114,S
10506-12703,78.02736092,120.5429726,128.7785034,433.4705276,24.53389311,-0.527116201,-0.188894979,0.578235795,S
10506-12704,175.9993401,90.54818153,25.5927577,292.2358322,55.46518135,-1.05761638,0.288631306,0.790685088,E
10506-12705,3.768717349,8.176829815,6.99527508,26.16060972,3.603073061,-0.572843065,-0.336391392,0.605060597,E
10506-1901,65.41566849,94.4702301,206.0688324,346.6412735,22.24033308,-0.225867961,-0.159613189,0.313396917,E
10506-1902,2.429116011,0.52563104,0.750520401,2.0181081,0.575390816,-0.429581924,0.664767253,0.511907228,E
10506-3701,38.79999256,13.56537473,39.21914768,31.98108292,2.121286064,0.088604986,0.456399847,-0.409391648,E
10506-3702,38.32409668,0.342381716,31.88401604,31.97335386,2.036092699,-0.001215175,2.048961363,-0.104525372,E
10506-3703,75.72270203,84.73974037,69.18893623,287.835022,19.97649479,-0.619106982,-0.048861026,0.629908099,E
10506-6101,13.6812582,44.57857227,65.46863842,173.9451065,9.738661051,-0.424378907,-0.513000116,0.507962448,E
10506-6102,5.854519367,17.11538315,16.92279291,49.89229393,4.500904322,-0.469561432,-0.465895379,0.54076092,E
10506-6103,14.04381227,4.096885443,3.317850709,5.700703979,1.529314607,-0.235071649,0.535031195,0.3248397,E
10506-6104,13.29668665,32.97698498,41.89391804,126.2348671,7.314393163,-0.479028348,-0.394467512,0.547237325,E
10506-9101,15.14933324,20.20231009,37.40282726,52.1565361,10.39136028,-0.144404309,-0.125007514,0.197168422,S
10506-9102,16.61934185,21.87806416,50.38688183,128.2568436,7.530766487,-0.405763065,-0.11939507,0.493464573,S
10507-12701,9.821309408,9.022973378,8.667056084,5.023378849,0.463228683,0.236875674,0.036819717,-1.426629551,S
10507-12702,40.03661823,35.43523216,24.11489964,112.6116447,6.473963499,-0.669297843,0.053022104,0.654582502,S
10507-12703,6.287758708,12.42933154,21.53695774,56.64870262,3.132342398,-0.420005612,-0.295951905,0.504611063,S
10507-1901,23.26622438,13.88221622,37.50871277,53.49154472,3.304932833,-0.154152979,0.224267108,0.212675498,E
10507-3701,10.72374582,11.069736,19.7486515,33.37226629,2.020953506,-0.227848254,-0.013790752,0.315884465,S
10507-3702,14.38109136,30.20152092,60.64745235,141.8668251,9.311963558,-0.369068288,-0.322236969,0.463003152,E
10507-3703,17.34871721,17.74716502,12.28560901,10.37707353,1.309925795,0.073321796,-0.00986162,-0.347770398,E
10507-3704,20.38729763,40.3669014,62.48386192,158.3737755,27.75229836,-0.403915406,-0.296665751,0.491991937,S
10507-6101,35.74876595,14.10524166,75.35590553,42.09804153,2.588672876,0.252855401,0.403880523,-1.619187989,E
10507-6102,27.91477489,67.88462257,89.72659302,262.0826492,26.15468264,-0.465517093,-0.385937278,0.53795419,E
10507-6103,36.86316586,13.67849684,85.11606789,77.43764687,5.226232052,0.041059405,0.430554256,-0.232108345,S
10507-6104,164.304512,124.4560547,556.3330231,354.9887543,22.27277231,0.195120245,0.12063346,-1.029152149,E
10507-9101,18.82776403,39.28672314,46.35956287,131.4042664,23.88317251,-0.452470134,-0.31944706,0.528731979,S
