plateifu,Classification,log(N/Ha),log(O/Hb)
8444-3704,Unclassified,-0.40848041,-0.536495662
8444-6101,Unclassified,-0.414743748,-0.393992662
8444-6102,SFG,-0.153797723,0.089540867
8444-6104,SFG,-0.350119591,-0.293722802
8444-9101,Unclassified,0.184472598,0.337759426
8444-9102,Unclassified,0.243529852,0.183646625
8445-12701,SFG,-0.164225798,-0.245247109
8445-12702,AGN,-0.082253628,0.247979814
8445-12703,SFG,-0.859255516,0.190444669
8445-12704,Unclassified,-0.117370209,0.010497573
8445-12705,Unclassified,-0.139018941,0.229998434
8445-1901,Passive,-0.049950214,0.532735028
8445-1902,Passive,-0.621915284,0.141212477
8445-3701,SFG,-0.291137443,-0.224684456
8445-3702,Unclassified,-0.07286712,0.374752396
8445-3703,SFG,-0.833622814,0.207036357
8445-3704,Passive,0.078410296,-0.012689075
8445-6101,Passive,-0.100975065,-0.044519636
8445-6102,Passive,0.084311885,-0.082002665
8445-6103,Passive,0.095503837,1.505813014
8445-6104,SFG,-0.597137136,-0.034493
8445-9101,Unclassified,-0.269633353,-0.476769864
8445-9102,SFG,-0.422326827,-0.521225153
8446-12701,SFG,-0.75678544,0.070089373
8446-12702,SFG,-0.379251633,-0.47969327
8446-12703,Unclassified,-0.306104774,0.123705267
8446-12704,SFG,-0.28145235,-0.28209063
8446-12705,SFG,-0.718266073,0.052390725
8446-1901,AGN,-0.199051155,0.334950603
8446-1902,AGN,-0.129603193,0.175424173
8446-3701,Passive,0.075197695,0.39755687
8446-3702,Passive,-0.654363924,0.644448123
8446-3703,SFG,-0.606847425,-0.095553487
8446-3704,SFG,-0.331604933,-0.409249277
8446-6101,Passive,-0.489706697,-0.341619956
8446-6102,Passive,-0.181134931,0.058593625
8446-6103,Passive,0.197064797,0.363267393
8446-6104,SFG,-0.435522517,-0.485981049
8446-9101,Passive,0.130528398,0.222378521
8446-9102,Passive,-0.495959681,-0.03502931
8447-12701,SFG,-0.129091478,-0.234388222
8447-12702,SFG,-0.403955085,-0.346918742
8447-12703,Passive,-0.543229104,-0.21391583
8447-12704,Passive,0.052605529,0.456271133
8447-12705,Unclassified,-0.578550364,-0.157561629
8447-1901,SFG,-0.796442519,0.196706286
8447-1902,Unclassified,0.14976548,0.205377384
8447-3701,Unclassified,-0.282975535,-0.170497831
8447-3702,Passive,0.176894347,-0.127340165
8447-3703,SFG,-0.266020473,-0.108145102
8447-3704,SFG,-0.241375865,-0.324462235
8447-6101,Unclassified,0.103091943,0.162540412
8447-6102,Passive,0.208694594,0.186713834
8447-6103,Passive,0.364258121,0.378702198
8447-6104,Passive,0.280768292,1.182979644
8447-9101,Passive,0.097857427,0.257594594
8447-9102,AGN,-0.011369366,0.029965099
8451-12701,AGN,0.089951195,0.711406225
8451-12702,Unclassified,0.172604439,0.423534868
8451-12703,SFG,-0.597271852,-0.121235601
8451-12704,Unclassified,-0.309121011,-0.246739462
8451-12705,SFG,-0.458067019,-0.610739654
8451-1901,Passive,-0.00058202,0.78542977
8451-1902,Passive,-0.178196476,0.026004825
8451-3701,SFG,-0.33886798,-0.396195081
8451-3702,Unclassified,-0.476504363,-0.454185711
8451-3703,SFG,-0.12343344,-0.096031659
8451-3704,Passive,0.274892026,0.030648267
8451-6101,Passive,0.199762486,0.412298638
8451-6102,Passive,0.194149707,1.113713723
8451-6103,Unclassified,0.047358379,0.44822018
8451-6104,Unclassified,-0.101834431,0.256287037
8451-9102,SFG,-0.682461516,-0.005717386
8452-12701,Unclassified,-0.499775031,-0.359395874
8452-12702,Unclassified,-0.499858103,-0.039408573
8452-12703,Unclassified,0.15690679,0.228066821
8452-12704,SFG,-0.270548638,-0.464865587
8452-12705,SFG,-0.188895213,0.029087514
8452-1901,AGN,-0.117617967,0.864612744
8452-1902,SFG,-0.432676555,0.020773196
8452-3701,Passive,0.108786633,-0.107586272
8452-3702,Passive,0.034023085,-0.227562295
8452-3703,Passive,0.002802249,0.106576552
8452-3704,SFG,-0.249046881,-0.285557677
8452-6101,SFG,-0.525954592,-0.337856047
8452-6102,SFG,-0.254223474,0.013118699
8452-6103,Passive,-0.360763245,0.153442199
8452-6104,Unclassified,-0.432062931,-0.643439761
8452-9101,Passive,-1.071775982,-1.050312561
8452-9102,SFG,-0.414057872,-0.38370783
8453-12701,SFG,-0.43967545,-0.602143251
8453-12702,Passive,-0.504224676,-0.32047692
8453-12703,Unclassified,-0.38704575,-0.876464402
8453-12704,Unclassified,-0.6467998,-0.094665481
8453-12705,SFG,-0.45543783,-0.590429991
8453-1901,SFG,-0.342416387,-0.163848661
8453-1902,SFG,-0.412959535,-0.32900356
8453-3701,Passive,-0.077043987,-0.269477273
8453-3702,Unclassified,-0.105482586,0.067282664
8453-3703,Passive,-0.391884664,0.097673056
8453-3704,SFG,-0.413721611,-0.317939329
8453-6101,Unclassified,-0.534410617,-0.422987065
8453-6102,SFG,-0.692006906,0.109069289
8453-6103,Passive,1.004251273,0.064374864
8453-6104,Unclassified,-0.417276361,-0.130190421
8453-9101,SFG,-0.57392869,-0.155166034
8453-9102,SFG,-0.302321313,-0.302663827
8454-12701,SFG,-0.611389009,-0.13449393
8454-12702,SFG,-0.312603423,-0.329965065
8454-12703,SFG,-0.414617563,-0.540812838
8454-12704,Passive,0.291369991,-0.359754064
8454-12705,AGN,-0.054148691,0.03956196
8454-1901,Passive,0.323240023,-0.054632463
8454-1902,Passive,0.166097655,0.337217199
8454-3701,Passive,0.189856149,0.390395362
8454-3702,SFG,-0.425323417,-0.441850321
8454-3703,Passive,0.284685675,-0.178016588
8454-3704,SFG,-0.679086621,0.02825999
8454-6101,SFG,-0.363918381,-0.334890516
8454-6102,Unclassified,0.239085335,-0.69078822
8454-6103,Passive,0.052533558,0.074559311
8454-6104,SFG,-0.273188058,-0.365419564
8454-9101,Passive,0.083099731,0.19773933
8454-9102,AGN,0.11882735,0.104129589
8455-12701,SFG,-0.498030163,-0.35596439
8455-12702,Unclassified,0.010975093,0.152125966
8455-12703,Passive,0.230540989,0.167292037
8455-12704,Passive,-0.009305869,-0.755189351
8455-12705,SFG,-0.428739276,-0.280267505
8455-1902,SFG,-0.47913292,-0.181662301
8455-3701,SFG,-0.351703837,-0.542696448
8455-3702,Unclassified,-0.096967491,-0.031402605
8455-3703,Passive,-0.575896148,-0.538555679
8455-3704,SFG,-0.436666657,-0.328365575
8455-6101,SFG,-0.411396546,-0.455589344
8455-6102,Unclassified,-0.135453478,-0.179599264
8455-6103,Passive,-1.011149739,-0.11387269
8455-6104,Passive,-1.20457954,-0.077802768
8455-9101,SFG,-0.598115975,-0.059451314
8455-9102,SFG,-0.483308833,-0.444594578
8456-12701,SFG,-0.535555842,-0.209728712
8456-12702,SFG,-0.70034957,-0.054305456
8456-12703,SFG,-0.507954311,-0.708305327
8456-12704,SFG,-0.457089194,-0.444673472
8456-12705,SFG,-0.370444049,-0.061990907
8456-1901,Passive,0.198947699,0.224448281
8456-1902,AGN,0.387069983,0.293503992
8456-3701,SFG,-0.098093607,-0.0886117
8456-3702,Passive,0.01335556,0.053995353
8456-3703,Unclassified,-0.331260473,-0.433951933
8456-3704,Passive,-0.28865214,0.34706145
8456-6101,Unclassified,0.105887864,0.637989413
8456-6102,Passive,0.165029073,0.297924886
8456-6103,Passive,0.006455694,0.039083853
8456-6104,Passive,-0.234509106,-0.327287929
8456-9101,Unclassified,-0.353001041,-0.614125176
8456-9102,Passive,-0.40870307,-0.248745341
8458-12701,SFG,-0.408214556,-0.352319142
8458-12702,SFG,-0.533985865,-0.441825733
8458-12703,SFG,-0.367658873,-0.392028642
8458-12704,Passive,-0.515178571,-0.232737506
8458-12705,SFG,-0.111428099,-0.083540687
8458-1901,SFG,-0.500127482,-0.220445975
8458-1902,Passive,-0.031545012,-0.372307778
8458-3701,SFG,-0.527779533,-0.400960345
8458-3702,SFG,-0.562599097,0.029212358
8458-3703,Unclassified,-0.426740816,-0.304703162
8458-3704,SFG,-0.521774133,-0.273708092
8458-6101,SFG,-0.432193916,-0.576325472
8458-6102,SFG,-0.438189452,-0.405983007
8458-6103,Passive,-0.133682227,0.338675751
8458-6104,Passive,-0.077528356,0.207904209
8458-9101,Passive,0.017139819,0.08172523
8458-9102,SFG,-0.779279527,0.077126289
8459-12701,Passive,0.651906587,0.186444018
8459-12702,SFG,-0.886676831,0.280673535
8459-12703,SFG,-0.47997665,-0.459598402
8459-12704,Passive,-0.564099581,-0.20582214
8459-12705,SFG,-0.436663724,-0.102096122
8459-1901,SFG,-0.402730734,-0.40478735
8459-1902,SFG,-0.709117453,0.105706735
8459-3701,Passive,0.055253601,0.214137511
8459-3702,AGN,0.195841378,0.103984545
8459-3703,Unclassified,0.035344065,0.231674874
8459-3704,SFG,-0.521288049,-0.228298601
8459-6101,Unclassified,-0.155756963,-0.105763885
8459-6102,SFG,-0.791985057,0.210588989
8459-6103,Passive,-0.260108408,-0.095992745
8459-6104,Passive,0.050441134,0.238431553
8459-9101,SFG,-1.037011177,0.263707252
8459-9102,SFG,-0.917037448,0.209731179
8461-12701,Passive,0.280717329,-0.015398384
8461-12702,SFG,-0.617238067,0.034868162
8461-12703,SFG,-0.546184319,-0.312192248
8461-12704,Unclassified,-0.543425455,-0.258188698
8461-12705,SFG,-0.459818026,-0.399987715
8461-1901,SFG,-0.39774084,-0.323317503
8461-1902,Passive,-0.305398775,0.096386492
8461-3701,Passive,0.028146841,-0.119403318
8461-3702,Passive,0.221352217,-0.2176746
8461-3703,Passive,-0.261435159,0.683998591
8461-3704,AGN,0.202352021,0.068892657
8461-6101,SFG,-0.262982242,-0.368486507
8461-6102,Unclassified,-0.367272368,-0.497955614
8461-6103,SFG,-0.28504786,-0.180178846
8461-6104,Passive,0.121419075,-0.045135582
8461-9101,Passive,0.014826271,0.259866258
8461-9102,Passive,-0.402748256,-0.385632421
8462-12701,SFG,-0.554895115,-0.26226995
8462-12702,Unclassified,-0.624749589,-0.366908176
8462-12703,Unclassified,-0.396253537,-0.480905563
8462-12704,SFG,-0.781167657,0.257539214
8462-12705,Unclassified,-0.096041988,0.259216386
8462-1901,Passive,0.094257452,0.031076721
8462-1902,SFG,-0.389856971,-0.547340194
8462-3701,Passive,0.145555848,0.13244632
8462-3703,SFG,-0.736121745,0.200341077
8462-3704,SFG,-0.477268672,0.069704202
8462-6101,SFG,-0.411154925,-0.440919422
8462-6102,Passive,0.173271633,0.897584339
8462-6103,Passive,0.282663994,0.072716789
8462-6104,SFG,-0.51487697,-0.339410701
8462-9101,SFG,-0.447701888,-0.672988257
8462-9102,SFG,-0.55315785,-0.254000334
8464-12701,SFG,-0.375056605,-0.427098547
8464-12702,Unclassified,-0.220315013,-0.150939712
8464-12703,Unclassified,-0.533845955,-0.534240094
8464-12704,SFG,-0.425118986,-0.415167498
8464-12705,SFG,-0.461295272,-0.014565504
8464-1901,Passive,-0.241962868,0.205616889
8464-1902,AGN,0.070595864,0.077842101
8464-3701,SFG,-0.47267947,-0.736462555
8464-3702,SFG,-0.271397999,-0.69284943
8464-3703,Passive,-0.06217829,0.016749776
8464-3704,SFG,-0.265239293,-0.386338834
8464-6101,AGN,-0.212531019,0.577535465
8464-6102,Unclassified,-0.377306008,-0.187485596
8464-6103,SFG,-0.519184497,-0.075321501
8464-6104,SFG,-0.439766232,-0.638577977
8464-9101,Passive,-0.520363105,-1.272772678
8464-9102,SFG,-0.44681638,-0.466518896
8465-12701,SFG,-0.497823868,-0.763962241
8465-12702,Unclassified,-0.556065468,-0.20688556
8465-12703,Unclassified,-0.33671338,-0.26606415
8465-12704,AGN,-0.123142197,0.604640088
8465-12705,SFG,-0.333411837,-0.397173847
8465-1901,Passive,-0.3178788,0.347791775
8465-1902,Passive,-0.339694925,0.104500054
8465-3701,SFG,-0.444383713,-0.143098778
8465-3702,SFG,-0.836353523,0.247773936
8465-3703,SFG,-0.319624673,-0.407640342
8465-3704,Passive,-0.580644202,-0.75476097
8465-6101,Passive,0.631732729,-0.115198033
8465-6102,SFG,-0.767429312,0.184670473
8465-6103,Passive,0.108040137,0.493148668
8465-6104,Passive,0.279801345,0.23489344
8465-9101,SFG,-0.189299139,-0.079375116
8465-9102,SFG,-0.470411964,-0.852692689
8466-12701,SFG,-0.584380309,-0.071554339
8466-12702,SFG,-0.451438026,-0.570058601
8466-12703,SFG,-0.819033668,0.168936352
8466-12704,SFG,-0.375332685,-0.585105979
8466-12705,Unclassified,-0.537949882,-0.111812188
8466-1901,Unclassified,-0.055958233,0.260930965
8466-1902,Passive,0.296640667,0.470352559
8466-3701,Passive,0.048902381,0.2381271
8466-3702,Unclassified,-0.336647173,-0.348710704
8466-3703,Passive,0.256792028,0.275936887
8466-3704,AGN,0.104754109,0.72291101
8466-6101,Passive,-0.549878916,0.188158588
8466-6102,Passive,0.067370316,0.060825767
8466-6103,Passive,0.1202309,1.386660946
8466-6104,Passive,-0.104169718,-0.767299601
8466-9101,SFG,-0.374222841,-0.207186825
8466-9102,SFG,-0.907434106,0.342816165
8481-12701,Passive,0.099314279,0.684260281
8481-12702,SFG,-0.375964914,-0.326152302
8481-12703,Unclassified,-0.15763155,-0.047451886
8481-12704,SFG,-0.419515975,-0.206297105
8481-12705,SFG,-0.482213168,-0.175777777
8481-1901,SFG,-1.039021736,-1.416316139
8481-1902,Unclassified,-0.007144267,0.039638268
8481-3701,Unclassified,-0.360245046,-0.290973609
8481-3702,AGN,0.198399346,0.368870335
8481-3703,Passive,0.257204187,0.297947324
8481-3704,Passive,0.059344352,0.060641838
8481-6101,Passive,0.088645984,0.303571886
8481-6102,Passive,-0.267648535,-0.045233542
8481-6103,SFG,-0.244077122,0.048101456
8481-6104,Passive,-0.589035917,-0.093125868
8481-9101,SFG,-0.252724053,-0.118629335
8481-9102,SFG,-0.555178547,-0.09654251
8482-12701,Unclassified,0.154274971,0.534978143
8482-12702,Passive,0.021097997,0.287150185
8482-12703,AGN,0.284171534,0.395534486
8482-12704,AGN,0.156209235,0.417372802
8482-12705,SFG,-0.33567203,-0.419921796
8482-1901,Unclassified,0.219572186,0.068936264
8482-1902,SFG,-0.30215155,-0.380798657
8482-3701,Passive,-0.16053945,0.015416021
8482-3702,SFG,-0.204994195,-0.090195519
8482-3703,Unclassified,0.275916655,0.46001886
8482-3704,AGN,0.100254988,0.222879845
8482-6101,Passive,-0.176183349,0.114336174
8482-6102,Passive,0.176854967,0.124043063
8482-6103,Passive,0.481891359,-0.745605858
8482-6104,Passive,0.026371905,0.566208552
8482-9101,Unclassified,0.155052633,0.551962063
8482-9102,Passive,0.142233504,0.527179194
8483-12701,SFG,-0.715106296,0.06115345
8483-12702,Passive,-0.675652028,-0.128831128
8483-12703,AGN,0.088941886,0.54393595
8483-12704,Unclassified,-0.821456828,0.207166705
8483-12705,SFG,-0.519810928,-0.29034403
8483-1901,Passive,-0.239676468,0.226630255
8483-1902,Passive,-0.041864244,0.453507586
8483-3701,Passive,0.124675956,0.226842076
8483-3702,Passive,0.034169748,0.269771862
8483-3703,Unclassified,-0.037363808,0.197458659
8483-3704,SFG,-0.482688192,-0.626648701
8483-6101,SFG,-0.23876356,-0.484530364
8483-6102,Passive,0.003597417,0.070702728
8483-6103,SFG,-0.777088537,0.104767339
8483-6104,Passive,-0.077961011,-0.036961626
8483-9101,Passive,-0.048087246,0.214279222
8483-9102,SFG,-0.498699334,-0.251453412
8484-12701,Passive,-0.799408769,-0.158613168
8484-12702,Passive,-0.124314028,0.570290137
8484-12703,SFG,-0.37397984,-0.610936923
8484-12704,SFG,-0.146037044,-0.163724557
8484-12705,Unclassified,-0.652180702,0.052991149
8484-1901,Unclassified,0.172429116,0.505783862
8484-1902,Unclassified,-0.291594654,-0.41062799
8484-3701,SFG,-0.481130352,-0.219348595
8484-3702,AGN,0.042727644,0.004651549
8484-3703,SFG,-0.324020581,-0.205880105
8484-3704,SFG,-0.309941764,-0.406268387
8484-6101,Unclassified,-0.086200197,0.29661714
8484-6102,Unclassified,0.05409685,0.462957448
8484-6103,Unclassified,-0.414645401,-0.495056805
8484-6104,SFG,-0.807073627,0.207421055
8484-9102,Passive,0.134750708,2.044782824
8485-12701,SFG,-0.78350406,0.113686791
8485-12702,Passive,-0.591671681,-0.049760785
8485-12703,Passive,0.163128978,0.115543575
8485-12704,SFG,-0.756708093,0.110721801
8485-12705,Unclassified,-0.353832292,-0.150405148
8485-1901,SFG,-0.394782382,-0.623320867
8485-1902,Passive,0.638440722,-0.752807468
8485-3701,SFG,-0.447365149,-0.206504843
8485-3702,SFG,-0.589078933,-0.010250404
8485-3703,Passive,-2.618137992,0.272299129
8485-3704,SFG,-0.464653269,-0.465303956
8485-6101,Unclassified,-0.404437514,-0.324630836
8485-6102,SFG,-0.650165237,0.079036724
8485-6103,SFG,-0.292298074,-0.326648925
8485-6104,Passive,-0.649547841,-0.020291046
8485-9101,Passive,0.004389104,-0.12531575
8485-9102,SFG,-0.294849461,-0.274073432
8486-12701,Passive,0.136535217,0.0709896
8486-12702,Unclassified,-0.613933552,-0.030002347
8486-12703,SFG,-0.791668232,0.252461568
8486-12704,Passive,-0.476542921,0.007151038
8486-12705,AGN,-0.181347625,0.371577227
8486-1901,SFG,-0.439992148,-0.351980626
8486-1902,Passive,-0.636459811,0.065426101
8486-3701,Passive,0.273247751,-0.05425237
8486-3702,Passive,-0.320781105,0.212071974
8486-3704,Passive,0.329942514,0.26745479
8486-6101,SFG,-0.297966648,-0.349623576
8486-6102,Unclassified,-0.4063058,-0.730735184
8486-6103,Passive,0.623215364,0.273708359
8486-6104,SFG,-0.196258353,-0.270378964
8486-9101,SFG,-0.502399961,-0.470450525
8486-9102,SFG,-0.513353034,-0.528775654
8487-12701,Unclassified,-0.719601941,0.214284982
8487-12702,Passive,-0.441472508,-0.117843253
8487-12703,SFG,-0.457300152,-0.22137753
8487-12704,Unclassified,-0.390888689,-0.476293401
8487-12705,SFG,-0.597838855,-0.139881074
8487-1901,Passive,-0.410262358,1.200451724
8487-1902,Unclassified,-0.089417496,0.151378496
8487-3701,Passive,1.597133343,-0.114361578
8487-3702,Passive,0.060529719,0.23197829
8487-3703,SFG,-0.609946254,-0.168148452
8487-3704,Unclassified,-0.430506355,-0.599948218
8487-6101,Unclassified,0.047954205,0.15670952
8487-6102,Passive,-0.303879554,-0.47277239
8487-6103,Passive,-0.837175397,-0.201683661
8487-6104,Passive,0.219387446,0.206855649
8487-9101,Passive,-0.939811662,0.131953065
8487-9102,SFG,-0.019483452,-0.092704339
8488-12701,SFG,-0.513956916,-0.100363397
8488-12702,AGN,0.090770756,0.361724107
8488-12703,Passive,-0.069155988,0.496813564
8488-12704,Unclassified,-0.471763867,-0.118103554
8488-12705,SFG,-0.270634918,-0.114123465
8488-1901,Passive,0.730287212,0.606623747
8488-1902,SFG,-0.483126689,-0.397883065
8488-3701,SFG,-0.52242929,-0.34108355
8488-3702,SFG,-0.570261533,-0.114975274
8488-3704,Passive,-0.161242695,0.295708612
8488-6101,SFG,-0.103756494,0.093916199
8488-6102,Passive,0.402503951,0.310627076
8488-6103,Passive,0.14394339,0.185051884
8488-6104,SFG,-0.539818233,-0.129166883
8488-9101,SFG,-0.575289619,-0.174196073
8488-9102,SFG,-0.5971586,-0.071192792
8546-12701,Passive,0.097832042,0.297720239
8546-12702,SFG,-0.979627039,0.257235351
8546-12703,SFG,-0.584291164,-0.21314818
8546-12704,SFG,-0.301261922,-0.328676022
8546-12705,SFG,-0.390204558,-0.553671719
8546-1901,Passive,0.263355435,-0.106185006
8546-1902,SFG,-0.399419116,-0.71908564
8546-3701,Passive,0.505982625,0.596128101
8546-3702,Passive,-0.219271504,-0.153039207
8546-3703,Passive,-0.020922423,-0.069971993
8546-3704,SFG,-0.344314432,-0.618970947
8546-6101,SFG,-0.364853883,-0.433898035
8546-6102,AGN,-0.143186867,0.340485628
8546-6103,AGN,-0.047160961,0.989376724
8546-6104,Passive,-0.015734454,-0.348094086
8546-9101,Unclassified,-0.418491045,-0.18015167
8546-9102,SFG,-0.474700496,-0.504873742
8547-12701,AGN,-0.113745596,0.309733679
8547-12702,Unclassified,-0.299718584,-0.006089237
8547-12703,SFG,-0.412238331,-0.510348785
8547-12704,Unclassified,-0.439929001,-0.4176764
8547-12705,Unclassified,-0.589549945,0.028587331
8547-1901,Passive,-0.127225565,0.210314044
8547-1902,Passive,-0.191518011,-0.880765316
8547-3702,Unclassified,-0.316436187,-0.234855841
8547-3703,SFG,-0.252746448,-0.274566963
8547-3704,SFG,-0.524007818,-0.30396832
8547-6101,Passive,0.796417825,0.26255959
8547-6102,SFG,-0.309964008,-0.483859857
8547-6103,SFG,-0.458127662,-0.584679962
8547-6104,Unclassified,-0.29574745,0.053102481
8547-9101,Passive,0.212176817,-0.239655145
8547-9102,SFG,-0.212824224,-0.591848056
8548-12701,SFG,-0.344369256,-0.331768287
8548-12702,Passive,-0.34002918,-0.426028009
8548-12703,SFG,-0.421365299,-0.410716198
8548-12704,SFG,-0.488016288,-0.320575013
8548-12705,Passive,-0.013654124,0.203294073
8548-1902,SFG,-0.772128697,0.204718366
8548-3701,Passive,0.195269904,0.360651642
8548-3702,SFG,-1.0310608,0.403909282
8548-3703,Passive,-0.441607536,-0.403393427
8548-3704,SFG,-0.450899373,-0.488144683
8548-6101,Passive,0.041343511,0.34046064
8548-6102,SFG,-0.357371725,-0.442786812
8548-6103,SFG,-0.595013204,-0.073542768
8548-6104,SFG,-0.237290818,0.09806993
8548-9101,Passive,-0.161758713,-0.432388985
8548-9102,SFG,-1.179101578,0.538861385
8549-12701,AGN,0.03969243,0.632603757
8549-12702,AGN,0.156249115,0.230075547
8549-12703,Unclassified,-0.414919262,-0.427902219
8549-12704,SFG,-0.459598667,-0.401421656
8549-12705,SFG,-0.104070788,0.109271101
8549-1901,SFG,-0.71927386,0.133735263
8549-1902,SFG,-0.639882902,-0.009347839
8549-3701,Passive,0.086430639,0.005636192
8549-3702,SFG,-0.432708832,-0.165294797
8549-3703,Unclassified,0.09438902,0.361015217
8549-3704,Unclassified,0.184237296,0.123707524
8549-6101,Passive,-0.486500916,-0.058326654
8549-6102,SFG,-0.314574131,-0.37641212
8549-6103,SFG,-0.639063312,-0.183496334
8549-6104,SFG,-0.46887925,0.005121423
8549-9101,AGN,0.203990706,0.416006237
8549-9102,SFG,-0.395672207,-0.625413885
8550-12701,Unclassified,0.150432275,0.3709037
8550-12702,AGN,0.277624561,0.213560255
8550-12703,SFG,-0.296867287,-0.620778702
8550-12704,AGN,0.214936696,0.401459013
8550-12705,AGN,0.098494116,0.305800925
8550-1901,Passive,-0.004250657,-0.201177895
8550-1902,Passive,0.083523056,1.632621862
8550-3701,SFG,-0.104056946,-0.201420525
8550-3702,Passive,0.191269688,0.448822767
8550-3703,Passive,0.259500811,1.017142649
8550-3704,AGN,0.3126325,0.650281613
8550-6101,Passive,-1.428161157,-0.010082866
8550-6102,SFG,-0.438727006,-0.484929834
8550-6103,AGN,0.091983329,0.189510129
8550-6104,Unclassified,-0.071218066,0.076322794
8550-9101,Unclassified,-0.432958836,-0.511838631
8550-9102,SFG,-0.296833415,-0.378852756
8551-12701,SFG,-0.198149863,0.070324845
8551-12702,SFG,-0.289453065,-0.331295451
8551-12703,Unclassified,-0.435982016,-0.494852211
8551-12704,SFG,-0.401487386,-0.496943009
8551-12705,SFG,-0.398627974,-0.544358908
8551-1901,Unclassified,-0.007737408,0.262732527
8551-1902,SFG,-0.970901757,0.510094794
8551-3701,SFG,-0.604996804,-0.071594057
8551-3702,Passive,-0.028082475,0.258531458
8551-3703,Passive,0.132092679,0.273679993
8551-3704,AGN,0.295050494,0.354953592
8551-6101,SFG,-0.80829903,-0.025626689
8551-6102,Passive,0.266312106,0.242210731
8551-6103,Passive,0.460942839,0.235101931
8551-6104,SFG,-0.458063843,-0.391394631
8551-9101,Unclassified,-0.326479062,-0.472970032
8551-9102,SFG,-0.588331036,-0.227946096
8552-12701,AGN,-0.1138816,0.580587373
8552-12702,SFG,-0.933720437,0.265886408
8552-12703,Unclassified,0.136962867,0.307615956
8552-12704,SFG,-0.385025324,-0.332303836
8552-12705,SFG,-0.621505561,0.050025104
8552-1901,Passive,-0.452594859,0.417823099
8552-1902,Passive,0.071137658,0.1252435
8552-3701,SFG,-0.7761568,0.247660577
8552-3702,Passive,-0.487854953,-0.231828763
8552-3703,Passive,0.286957435,0.434653531
8552-3704,SFG,-0.535947428,-0.237200504
8552-6101,SFG,-0.693358333,-0.050564865
8552-6102,SFG,-0.535653392,-0.192392719
8552-6103,Passive,0.188934348,0.460963151
8552-6104,Passive,0.212476679,0.04631408
8552-9101,Unclassified,0.042058055,0.059387579
8552-9102,Unclassified,0.045871073,-0.047897646
8553-12701,Unclassified,-0.452187885,-0.324359127
8553-12702,AGN,0.113189019,0.424268329
8553-12703,SFG,-1.14423836,0.599978676
8553-12704,Unclassified,0.105586909,0.334569773
8553-12705,SFG,-0.347502517,-0.203662579
8553-1901,AGN,-0.149565389,0.482848925
8553-1902,Passive,0.057200288,0.735067372
8553-3702,Unclassified,0.154061289,0.377374284
8553-3703,AGN,0.055927587,0.064832516
8553-3704,SFG,-0.520045924,-0.141090851
8553-6101,Passive,0.837178577,0.106773599
8553-6102,SFG,-0.157116231,-0.095097712
8553-6103,Passive,0.003548285,-0.212367531
8553-6104,Passive,0.067982016,0.275911339
8553-9101,AGN,0.096544992,0.082475614
8553-9102,SFG,-0.194171866,-0.04806892
8554-12701,Passive,-0.19417224,0.174633523
8554-12702,Unclassified,-0.400078622,-0.352520802
8554-12703,Unclassified,0.04550591,0.179566715
8554-12704,SFG,-1.267452752,-0.07701868
8554-12705,SFG,-0.253136097,0.191640566
8554-1901,Passive,0.086616382,0.417840961
8554-1902,Unclassified,-0.024633138,0.249232789
8554-3701,SFG,-0.395730465,-0.524939115
8554-3702,Passive,-0.0653111,0.123330326
8554-3703,Passive,0.164384249,0.423976179
8554-3704,SFG,-0.392755488,-0.367399474
8554-6101,SFG,-0.524179028,-0.223426723
8554-6102,Passive,-0.283732487,-0.045188921
8554-6103,Passive,0.106158102,0.169873254
8554-6104,Passive,0.229511738,0.463504601
8554-9101,SFG,-0.499452015,-0.389058376
8554-9102,Passive,0.096693547,1.730275822
8555-12701,Passive,0.304611539,0.262848458
8555-12702,SFG,-0.216944879,-0.373413935
8555-12703,Unclassified,-0.266301629,-0.024318609
8555-12704,Passive,0.324594408,-0.053628881
8555-12705,SFG,-0.229907313,0.132254017
8555-1901,SFG,-0.3731298,-0.341291878
8555-1902,Passive,-0.293188082,-0.029000812
8555-3701,Unclassified,0.234492036,0.494140856
8555-3702,Passive,-0.255354334,-0.207448718
8555-3703,Passive,-0.031607921,0.117429828
8555-3704,Passive,-0.207006031,-0.194702076
8555-6101,Passive,-0.012497697,0.183941655
8555-6102,Passive,-0.118856419,0.269860591
8555-6103,Passive,0.123756847,0.068220135
8555-6104,Passive,0.190336828,0.155401501
8555-9101,Unclassified,-0.566459729,-0.889895038
8555-9102,SFG,-0.394708822,-0.387797726
8561-12701,SFG,-0.415099617,-0.615334823
8561-12702,SFG,-0.726961062,0.113478816
8561-12703,SFG,-0.733753641,0.445625914
8561-12704,SFG,-0.291800994,-0.549827574
8561-12705,Unclassified,-0.127715723,0.065709295
8561-1901,Unclassified,-0.415136053,0.008577005
8561-1902,SFG,-0.256250766,0.334177002
8561-3701,Passive,0.396533675,2.131766147
8561-3702,Passive,0.324943189,0.053048619
8561-3703,SFG,-0.388582048,-0.49158842
8561-3704,AGN,-0.114356127,0.795261443
8561-6101,Unclassified,0.156294126,0.094563891
8561-6102,SFG,-0.400377937,-0.300742968
8561-6103,SFG,-0.213925699,0.092866813
8561-6104,Unclassified,0.171371332,0.608970064
8561-9101,SFG,-0.33499034,-0.184942923
