plateifu,Classification,log(N/Ha),log(O/Hb)
10488-12702,Unclassified,0.087019282,-0.007773571
10488-12703,SFG,-0.310437237,-0.646443339
10488-12704,SFG,-0.323454633,-0.177564347
10488-12705,Unclassified,-0.207766581,-0.110910895
10488-9101,AGN,-0.154606958,0.437539579
10488-9102,Passive,0.081847096,1.118187145
10489-12701,SFG,-0.455821382,-0.945317764
10489-12702,AGN,-0.051267781,0.918434612
10489-12703,SFG,-0.456761693,-0.50099896
10489-12704,SFG,-0.596157206,-0.844665618
10489-12705,Passive,0.039893741,-1.308325634
10489-9101,SFG,-0.532626361,-0.736688193
10489-9102,SFG,-0.489816047,-0.813444603
10490-12702,SFG,-0.279929996,-0.414499213
10490-12703,Unclassified,-0.256135214,-0.177502334
10490-12704,SFG,-0.739281416,-1.515778522
10490-12705,AGN,-0.135058276,0.505371588
10490-9101,SFG,-0.129047019,-1.038341271
10490-9102,SFG,-0.370368553,-1.316160407
10491-12701,AGN,-0.241266648,0.652871324
10491-12702,SFG,-0.321916428,0.277299926
10491-12703,SFG,-0.451900384,-0.508405914
10491-12704,SFG,-0.131988995,-0.548451166
10491-12705,AGN,-0.142600017,1.270416767
10491-9101,SFG,-0.675714538,0.14360826
10491-9102,SFG,-0.697454989,0.608137029
10492-12701,AGN,0.084093587,0.169960455
10492-12702,AGN,-0.070139454,0.526852465
10492-12703,SFG,-0.143553462,-0.016267583
10492-12704,SFG,-0.363473181,-0.408450235
10492-12705,Passive,0.11696033,0.447085496
10492-1901,SFG,-0.536358235,-0.494726925
10492-1902,Passive,0.081701168,0.329673281
10492-3701,Passive,-0.140413635,0.060914578
10492-3702,Passive,0.176023663,2.046008079
10492-3703,Passive,-0.392358697,-0.107672841
10492-3704,Unclassified,-0.046533824,0.084457402
10492-6101,Passive,-0.174164671,0.208475373
10492-6102,AGN,0.182908376,0.377196912
10492-6103,AGN,-0.04183372,0.76337317
10492-6104,AGN,-0.099694538,0.211786779
10492-9101,SFG,-0.38965385,-0.662194593
10492-9102,AGN,-0.011205591,0.513017122
10493-12701,SFG,-0.329727135,-0.341418654
10493-12702,SFG,-0.523099231,-0.182017666
10493-12703,Unclassified,-0.644642775,-0.24879023
10493-12704,Unclassified,-0.546230378,-0.111754786
10493-12705,Unclassified,-0.577587772,-0.06157368
10493-1901,Passive,-0.082243751,0.312466642
10493-1902,SFG,-0.440509079,0.061030339
10493-3701,SFG,-0.461412869,-0.732816839
10493-3702,Passive,0.021352282,0.303636912
10493-3703,Passive,-0.098366257,-0.056775283
10493-3704,AGN,-0.141211634,0.889295702
10493-6101,Passive,0.398479875,1.581021707
10493-6102,Passive,-0.207750139,0.8083851
10493-6103,Passive,0.172423001,-0.131976083
10493-6104,Unclassified,0.178250402,0.231644026
10493-9101,SFG,-0.507918709,-0.411738407
10493-9102,SFG,-0.699393248,0.099113588
10494-12701,AGN,-0.154409958,0.583996337
10494-12702,Passive,0.344253122,0.18773255
10494-12703,Passive,0.162206027,-0.019793395
10494-12704,Unclassified,0.070317582,0.149579878
10494-12705,Unclassified,-0.045421628,0.216434561
10494-1901,Passive,-0.815123665,0.484351248
10494-1902,Passive,-0.26409942,-0.046335132
10494-3701,SFG,-0.324950691,-0.302498593
10494-3702,Passive,-0.637491414,0.03301818
10494-3703,Passive,-0.307730631,0.440918651
10494-3704,SFG,-0.536966307,-0.320682197
10494-6101,SFG,-0.417082195,-0.617816351
10494-6102,Passive,0.260246313,0.507682283
10494-6103,Passive,-1.049928652,-1.291349509
10494-6104,Unclassified,-0.163882028,-0.062312737
10494-9101,Unclassified,0.087840918,0.708284211
10494-9102,Unclassified,-0.261586883,-0.081056914
10495-12701,Passive,-0.275034115,-0.13878686
10495-12702,Passive,0.096361385,0.243240098
10495-12703,Passive,0.27940505,0.106473274
10495-12704,SFG,-0.363340675,-0.520284578
10495-12705,SFG,-0.445541683,-0.448134826
10495-1901,SFG,-0.447896544,-0.419781809
10495-1902,Passive,0.404853191,0.003446952
10495-3701,SFG,-0.052431117,-0.245472024
10495-3702,SFG,-0.512137565,-0.534784476
10495-3703,Passive,-0.364664466,0.275145468
10495-3704,Passive,-0.52964235,-0.043225388
10495-6101,Unclassified,0.118134902,0.07864908
10495-6102,Passive,0.17828643,0.330564609
10495-6103,SFG,-0.392692646,-0.582420978
10495-6104,Passive,-0.318862695,1.45864649
10495-9101,SFG,-0.304864885,0.011168838
10495-9102,Passive,-0.062045983,0.171050508
10496-12701,SFG,-0.167905223,0.049146316
10496-12702,Unclassified,0.223560915,0.166115019
10496-12703,SFG,-0.906183661,-0.039318731
10496-12704,SFG,-0.419085099,-0.375123731
10496-12705,SFG,-0.473705474,-0.496993147
10496-1901,Passive,0.01172435,0.597853953
10496-1902,Passive,0.085196149,0.013472928
10496-3701,Passive,-0.169530721,-0.592802243
10496-3702,Unclassified,-0.089461685,0.038199548
10496-3703,Passive,-0.80462554,0.362789832
10496-3704,Passive,0.037193641,-0.073776846
10496-6101,SFG,-0.430169638,-0.13510696
10496-6102,SFG,-0.554721279,-0.213509432
10496-6103,SFG,-0.509880319,-0.196080687
10496-6104,Passive,-0.235801092,0.005514685
10496-9101,Passive,0.212747575,0.174090334
10496-9102,Passive,-0.414962132,-0.204797144
10499-9101,Passive,-0.134096494,-0.07613193
10500-12701,Passive,-0.198427283,0.50994762
10500-12702,SFG,-0.289387702,0.24443215
10500-12703,AGN,0.057518687,0.212037541
10500-12704,SFG,-0.402869738,-0.596697461
10500-12705,Passive,-0.002145431,-0.123716866
10500-1901,Unclassified,-0.114224237,0.40281426
10500-1902,Passive,0.30718184,0.363041243
10500-3701,Passive,0.312792895,-0.299088581
10500-3702,SFG,-0.275637861,-0.462764441
10500-3703,SFG,-0.423495716,-0.594510561
10500-6101,SFG,-0.404741932,-0.320961656
10500-6102,Passive,-0.364499674,-0.205867928
10500-6103,Passive,0.037532015,0.044667064
10500-6104,Unclassified,-0.312768185,0.059125409
10500-9101,Passive,-0.085938462,-0.058113147
10500-9102,SFG,-0.367099226,-0.535290925
10501-12701,Unclassified,-0.16224525,-0.123307404
10501-12702,SFG,-0.397467848,-0.521040982
10501-12703,SFG,-0.678839786,-0.43025245
10501-12704,SFG,-0.460752949,-0.813931226
10501-12705,Passive,-0.940057976,0.05831544
10501-1901,SFG,-0.256084283,-0.156688411
10501-1902,SFG,-0.236696578,-0.449628696
10501-3701,SFG,-0.362076506,-0.336258502
10501-3702,Passive,-0.079330733,0.190394528
10501-3703,Unclassified,-0.349379918,-0.318918998
10501-3704,Passive,0.364881024,0.416591932
10501-6102,SFG,-0.379996609,-0.720705634
10501-6103,Passive,0.149305786,0.254077991
10501-6104,Passive,0.218505777,0.270358516
10501-9101,Passive,0.222396932,0.277307532
10501-9102,AGN,0.153736095,0.281293311
10502-12702,Passive,-0.275794613,0.235196989
10502-12703,Passive,-0.226393185,-0.424572216
10502-12704,Unclassified,-0.166880499,-0.041087651
10502-1901,SFG,-0.585018991,0.134635733
10502-3701,Passive,0.441737985,0.943769492
10502-3703,Passive,0.069712611,0.186422294
10502-3704,Passive,0.101269886,0.310822424
10502-6102,Passive,-0.159494403,-0.353044851
10502-6103,SFG,-0.104690836,-0.033918523
10502-6104,SFG,-0.332440564,-0.309108251
10502-9101,Unclassified,-0.197173595,0.137704619
10502-9102,Passive,0.086209515,0.488530619
10504-12701,SFG,-0.317635347,-0.239568737
10504-12702,Passive,1.158013597,-0.011700073
10504-12703,Unclassified,-0.572960857,-0.252046567
10504-12704,AGN,-0.313581842,0.497199834
10504-12705,Passive,-0.121882817,0.181716815
10504-1901,Passive,-0.864905225,0.025372242
10504-1902,Passive,0.158770169,-0.076179544
10504-3701,Passive,0.169727099,0.036864664
10504-3702,Passive,0.286216889,-0.110959612
10504-3703,Unclassified,0.000771029,0.201024898
10504-3704,Passive,0.139057543,0.011766648
10504-6101,Passive,0.182624921,-1.107789685
10504-6103,Passive,-0.210509738,0.573773231
10504-6104,Passive,-0.083127175,0.194135626
10504-9101,SFG,-0.234995803,-0.481365448
10504-9102,SFG,-0.296093947,-0.086478502
10505-12701,SFG,-0.198073525,-0.1881526
10505-12702,Passive,-0.49450557,-0.488542481
10505-12703,SFG,-0.295150204,0.023461746
10505-12704,SFG,-0.456903017,-0.671611318
10505-12705,Passive,-1.028529955,-0.18852484
10505-1901,Passive,0.06420931,0.020241029
10505-3701,Passive,0.060878365,0.336066413
10505-3702,Passive,-0.208700506,-0.407112346
10505-3703,Unclassified,-0.420807382,-0.394098928
10505-3704,Passive,-0.343214309,-0.977635881
10505-6101,SFG,-0.206533528,0.218833906
10505-6102,Unclassified,0.087828465,0.412823751
10505-6103,Passive,-0.250769483,0.381323622
10505-6104,SFG,-0.827584048,0.205876388
10505-9101,SFG,-0.445936272,-0.497776815
10505-9102,Passive,0.076563094,-0.107423251
10506-12701,Passive,-0.48843113,-0.28501271
10506-12702,SFG,-0.164253284,0.002319719
10506-12703,SFG,-0.527116201,-0.188894979
10506-12704,SFG,-1.05761638,0.288631306
10506-12705,Unclassified,-0.572843065,-0.336391392
10506-1901,SFG,-0.225867961,-0.159613189
10506-1902,Passive,-0.429581924,0.664767253
10506-3701,Passive,0.088604986,0.456399847
10506-3702,Passive,-0.001215175,2.048961363
10506-3703,SFG,-0.619106982,-0.048861026
10506-3704,Passive,-0.114486454,-0.230696424
10506-6101,SFG,-0.424378907,-0.513000116
10506-6102,Unclassified,-0.469561432,-0.465895379
10506-6103,Passive,-0.235071649,0.535031195
10506-6104,SFG,-0.479028348,-0.394467512
10506-9101,SFG,-0.144404309,-0.125007514
10506-9102,SFG,-0.405763065,-0.11939507
10507-12701,Passive,0.236875674,0.036819717
10507-12702,SFG,-0.669297843,0.053022104
10507-12703,Unclassified,-0.420005612,-0.295951905
10507-12704,SFG,-0.203561568,-0.026269688
10507-12705,SFG,-0.302431318,-0.326012443
10507-1901,Unclassified,-0.154152979,0.224267108
10507-1902,SFG,-0.418299606,-0.549660746
10507-3701,Passive,-0.227848254,-0.013790752
10507-3702,SFG,-0.369068288,-0.322236969
10507-3703,Passive,0.073321796,-0.00986162
10507-3704,SFG,-0.403915406,-0.296665751
10507-6101,Passive,0.252855401,0.403880523
10507-6102,SFG,-0.465517093,-0.385937278
10507-6103,Unclassified,0.041059405,0.430554256
10507-6104,AGN,0.195120245,0.12063346
10507-9101,SFG,-0.452470134,-0.31944706
10507-9102,SFG,-0.235909116,-0.255118939
10508-12701,SFG,-0.210008487,-0.40831113
10508-12702,SFG,-0.601390554,-0.691876111
10508-12703,AGN,-0.09964584,0.629992773
10508-12704,Unclassified,-0.659093333,0.091400059
10508-12705,Unclassified,0.032169784,0.303272741
10508-1901,SFG,-0.706552922,0.015387491
10508-1902,Passive,0.04216637,0.194373038
10508-3701,Unclassified,0.236456348,0.405912767
10508-3703,Passive,-0.446241248,0.259500845
10508-3704,Passive,0.562682247,0.157640944
10508-6101,AGN,0.275327414,0.363555654
10508-6102,Passive,-0.301745759,0.429865363
10508-6103,AGN,-0.149075519,0.405588022
10508-6104,SFG,-0.181352175,-0.213812235
10508-9101,Passive,-1.385767767,-0.28503901
10508-9102,Passive,0.157277128,0.207258126
10509-12701,SFG,-0.504938927,-0.525103591
10509-12702,Unclassified,0.1827099,0.346100754
10509-12703,SFG,-0.143907608,-0.129185275
10509-12704,Passive,0.144257399,-0.752280149
10509-12705,Passive,-0.256286123,0.315134138
10509-1901,SFG,-0.456922248,-0.713920234
10509-1902,SFG,-0.658382541,0.075090782
10509-3701,SFG,-0.433586427,-0.439823651
10509-3702,Passive,-0.205340401,0.071149223
10509-3703,SFG,-0.5677822,-0.171746732
10509-3704,SFG,-0.3700468,-0.63925642
10509-6101,SFG,-0.426633941,-0.490258352
10509-6102,SFG,-0.479256402,-0.263837946
10509-6103,SFG,-0.5296433,-0.014704635
10509-6104,SFG,-0.424537174,-0.444591672
10509-9101,SFG,-0.316652699,-0.365861625
10510-12701,Passive,0.070096306,-0.025385617
10510-12702,Passive,-0.472180421,0.883258793
10510-12703,SFG,-0.483760948,-0.292737627
10510-12704,AGN,0.051155146,1.076198988
10510-12705,AGN,0.112928212,-0.036885833
10510-1901,Passive,-0.005120136,0.161975833
10510-1902,Passive,-0.822940049,0.261605267
10510-3701,Passive,-0.130725058,0.626761095
10510-3702,Passive,0.021515942,0.059572985
10510-3703,Passive,-0.102130937,0.191490521
10510-3704,AGN,-0.235145511,0.330023247
10510-6101,Unclassified,-0.130846769,0.198565006
10510-6102,Passive,0.007071883,0.167895478
10510-6103,AGN,0.192727463,0.285222111
10510-6104,Passive,0.673447111,0.14309381
10510-9101,Passive,-0.619415279,-0.084932947
10510-9102,AGN,0.388798246,0.521823734
10838-12701,SFG,-0.676732606,-0.033696368
10838-12702,Passive,-0.117600278,0.226931349
10838-12703,Unclassified,-0.560090926,-0.069596124
10838-12704,SFG,-0.750749163,0.158137544
10838-12705,AGN,-0.097017712,0.720340883
10838-1901,Passive,0.040564022,0.325173534
10838-1902,Unclassified,-0.144632266,-0.019702662
10838-3701,Passive,0.26688115,0.168966025
10838-3702,SFG,-0.745207141,0.131945103
10838-3703,Unclassified,-0.018056939,0.203106513
10838-3704,Passive,0.273399885,0.176561128
10838-6101,Unclassified,-0.696191463,-0.012875716
10838-6102,SFG,-1.178569788,0.470480724
10838-6103,SFG,-0.786433517,0.157183838
10838-6104,Unclassified,-0.085398074,0.232609755
10838-9101,SFG,-0.268269749,-0.214046706
10838-9102,SFG,-0.446949318,-0.446593919
11011-12703,SFG,-0.249496988,-0.378677299
11011-12704,Passive,0.55431123,0.258838913
11011-12705,SFG,-0.382913392,-0.435052261
11011-1901,Passive,0.277456251,0.15012444
11011-1902,AGN,-0.057356236,0.423960373
11011-3701,Unclassified,-0.289159011,-0.159425323
11011-3702,Passive,-0.122802399,0.344791333
11011-3703,Unclassified,-0.242068704,0.075896377
11011-3704,Unclassified,0.192353574,0.567468176
11011-6101,Passive,0.034830957,-0.093451427
11011-6102,Passive,-0.579621319,-0.107326256
11011-6103,Passive,0.11805021,1.129522413
11011-6104,SFG,-0.521063496,-0.398073048
11011-9101,Passive,0.217657813,0.039160893
11011-9102,Passive,-1.56971231,-0.131378797
11012-12701,Passive,0.064747594,0.161609565
11012-12702,Unclassified,0.264275177,0.027206588
11012-12703,SFG,-0.440190199,-0.468044611
11012-12704,Passive,-0.160194377,-0.014833036
11012-12705,Unclassified,0.146329956,0.278484238
11012-1901,Passive,-0.172418706,-0.103937241
11012-1902,Passive,-0.270930365,0.350103775
11012-3701,Passive,0.199431971,0.564443848
11012-3702,SFG,-0.361426188,-0.460947876
11012-3703,Passive,0.12757934,0.244582015
11012-3704,Passive,-0.05682836,0.166868504
11012-6101,SFG,-0.456602469,-0.656474956
11012-6102,SFG,-0.46428044,-0.569518921
11012-6103,Passive,-0.364448434,-0.217809903
11012-6104,Unclassified,-0.041261725,0.281242759
11012-9101,Passive,-0.046643778,0.030683699
11012-9102,SFG,-0.26932879,-0.211346636
11013-12701,SFG,-0.644568854,0.028901435
11013-12702,SFG,-0.409594095,-0.398594701
11013-12703,Passive,-0.492463629,-0.342543988
11013-12704,SFG,-0.427776401,-0.191246915
11013-12705,SFG,-0.629576487,-0.062086115
11013-1901,Passive,0.430901993,0.203312296
11013-1902,SFG,-0.494277783,-0.127153976
11013-3701,SFG,-0.334020238,-0.211911632
11013-3702,AGN,0.095263157,0.13577594
11013-3703,SFG,-0.59994121,-0.105802524
11013-3704,SFG,-0.558153262,-0.284387936
11013-6101,AGN,0.00256274,0.382208411
11013-6102,SFG,-0.70893057,0.179259301
11013-6103,Unclassified,-0.657146847,-0.034236751
11013-6104,Unclassified,-0.067584671,0.168002519
11013-9101,Unclassified,-0.27875794,-0.359118236
11013-9102,SFG,-0.538467009,-0.22100656
11016-12701,Unclassified,-0.664346533,0.00352579
11016-12702,Passive,0.038815615,0.27984235
11016-12703,Passive,0.182893685,0.362186778
11016-12704,Unclassified,-0.380035965,-0.386253053
11016-12705,Passive,-0.124927996,0.383717638
11016-1901,Unclassified,0.146797214,0.187982459
11016-1902,Passive,0.335807784,0.374712297
11016-3701,Passive,-1.379805126,-0.363955307
11016-3702,Unclassified,-0.512999244,-0.252528334
11016-3703,Passive,0.109456701,0.633983632
11016-3704,Passive,0.023201426,0.679230187
11016-6101,Unclassified,0.189878554,0.296819356
11016-6102,Passive,0.147484701,0.008541863
11016-6103,Passive,0.232788856,-0.185927805
11016-6104,Passive,0.010332997,0.274523759
11016-9101,SFG,-0.38343837,-0.43764504
11016-9102,SFG,-0.41923171,-0.640440806
11017-12701,AGN,0.045256951,0.618521333
11017-12702,Passive,-0.553084806,-0.204539205
11017-12703,SFG,-0.44381371,-0.593388545
11017-12704,SFG,-0.189940618,0.034798995
11017-12705,SFG,-0.447157404,-0.607588662
11017-1901,Passive,-0.375683198,0.318538825
11017-1902,Passive,0.194356212,0.320403107
11017-3701,Passive,-0.192744181,0.171466539
11017-3702,Passive,0.16533501,0.499740374
11017-3703,Passive,-0.264361324,-0.052229908
11017-3704,SFG,-0.500604735,0.342394522
11017-6101,SFG,-0.413750514,-0.622993296
11017-6102,Passive,0.123099777,0.449909905
11017-6103,SFG,-0.491527889,-0.642168941
11017-6104,AGN,0.039212996,0.25366662
11017-9101,SFG,-0.317849073,-0.476544975
11017-9102,Passive,0.087181922,0.895383738
11018-12701,SFG,-0.358567886,-0.093340335
11018-12702,AGN,0.216971353,0.503462942
11018-12703,Passive,-0.664153841,0.053311036
11018-12704,SFG,-0.39150971,-0.363091769
11018-12705,Passive,0.082860204,0.507098866
11018-1901,Passive,-0.75734435,0.100222275
11018-1902,SFG,-0.5031261,-0.343610532
11018-3701,Unclassified,-0.110115921,0.357754975
11018-3702,SFG,-0.39406934,-0.538355083
