plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851
9034-3704,7.361240029,14.56384659,20.34516191,48.75164318,4.694289327,46.0655098,33.54781151,14.56384659,4.551549554,7.361240029,6.800024867,48.75164318,20.34516191
9034-6101,14.76511884,34.4881382,73.62143707,178.905262,13.37200069,46.44942474,37.19957542,34.4881382,4.817673802,14.76511884,22.26627445,178.905262,73.62143707
9034-6102,13.25076699,42.84677696,54.2003336,174.3850555,10.43202019,46.36959457,51.76954842,42.84677696,2.670964003,13.25076699,18.77292776,174.3850555,54.2003336
9034-6103,20.31314754,15.20308685,44.74830627,38.99069118,2.420168281,47.66323853,40.94193268,15.20308685,3.401140809,20.31314754,17.19651079,38.99069118,44.74830627
9034-6104,17.84134769,30.72110701,75.49611855,106.7110863,7.261401892,47.68668365,17.96887207,30.72110701,3.159368634,17.84134769,29.85227776,106.7110863,75.49611855
9034-9101,10.17026973,10.12131786,26.13969421,20.50043583,1.408182651,47.43650818,16.83284426,10.12131786,6.506255269,10.17026973,7.477614403,20.50043583,26.13969421
9034-9102,5.855166614,3.910923958,-4.542236745,6.339988828,0.861148193,45.56073761,-1.003646739,3.910923958,1.22058405,5.855166614,1.179006442,6.339988828,-4.542236745
9035-12701,125.03228,177.6645737,136.3819199,599.3935547,42.06492424,44.26321793,398.1937943,177.6645737,39.0834589,125.03228,47.29452801,599.3935547,136.3819199
9035-12702,26.90557194,78.16940117,132.5729713,347.5860062,20.25403023,44.96459198,97.50402451,78.16940117,6.021464348,26.90557194,44.83926964,347.5860062,132.5729713
9035-12703,18.61318493,23.43957186,54.91538715,101.2047119,6.182283998,45.33802795,55.24946594,23.43957186,6.048860788,18.61318493,18.03992939,101.2047119,54.91538715
9035-12704,59.53299236,45.22427082,35.90520287,173.4706535,12.91044569,45.1545105,154.9564323,45.22427082,19.08508158,59.53299236,11.85179806,173.4706535,35.90520287
9035-12705,15.80409956,21.48357248,22.47368383,79.4334507,4.627763152,44.01638031,66.19741344,21.48357248,3.161267221,15.80409956,7.70883882,79.4334507,22.47368383
9035-1901,7.762949467,6.476796627,45.80073071,37.45306778,2.295523882,44.27218246,16.40510821,6.476796627,-0.229484616,7.762949467,17.51915932,37.45306778,45.80073071
9035-1902,6.694234252,26.32493401,59.01484013,148.7978325,10.17862463,43.84217834,31.9632349,26.32493401,3.467897594,6.694234252,18.59506226,148.7978325,59.01484013
9035-3701,92.92523575,111.0458946,122.5260944,490.1512833,27.97482204,43.69746399,253.6313438,111.0458946,29.41225386,92.92523575,41.85124207,490.1512833,122.5260944
9035-3702,7.678316832,31.29717302,45.44560814,136.1239777,8.806413651,44.1603775,31.20305824,31.29717302,-1.030815318,7.678316832,16.76986694,136.1239777,45.44560814
9035-3703,164.4441338,138.0859909,113.2445793,527.5798035,36.64218998,44.67325592,380.1895905,138.0859909,52.03385162,164.4441338,35.75363255,527.5798035,113.2445793
9035-3704,42.42072582,46.37989521,171.9039421,188.161274,11.09837723,43.37247849,99.88024902,46.37989521,10.71506429,42.42072582,63.15376282,188.161274,171.9039421
9035-6101,16.2080493,29.81232548,99.99022102,133.561306,8.573613405,43.48138809,70.25734711,29.81232548,6.073328614,16.2080493,32.30190325,133.561306,99.99022102
9035-6102,21.48762465,57.72891426,131.7040672,286.84552,15.86717105,43.68365097,50.56046772,57.72891426,3.309346616,21.48762465,52.42243671,286.84552,131.7040672
9035-6103,11.42257118,-0.517444134,-7.992717266,10.41662788,1.115202785,44.43604279,3.136650085,-0.517444134,-7.524035931,11.42257118,3.61255908,10.41662788,-7.992717266
9035-6104,4.239401639,22.43469,32.52440119,82.41804695,4.460186958,45.73129654,33.59235334,22.43469,3.526246548,4.239401639,9.285070896,82.41804695,32.52440119
9035-9101,80.86800575,34.00118113,133.7388229,92.84643555,5.442437887,45.55599976,118.0715694,34.00118113,22.56219387,80.86800575,48.18259621,92.84643555,133.7388229
9035-9102,24.4094429,24.73574972,36.46386766,97.59142494,6.087608814,44.94351959,64.63619995,24.73574972,6.437407732,24.4094429,10.13377309,97.59142494,36.46386766
9036-12701,14.09972054,11.83904374,7.911152318,38.00220579,4.428676903,43.68384933,33.41527802,11.83904374,2.672030516,14.09972054,2.326820269,38.00220579,7.911152318
9036-12702,8.05936265,4.963227153,30.77390862,48.69930077,2.707803547,43.04870987,7.689018488,4.963227153,1.210930437,8.05936265,10.07886934,48.69930077,30.77390862
9036-12703,3.26501894,16.11636996,17.88227987,52.20626974,3.57388401,44.66854477,13.74817526,16.11636996,1.033622712,3.26501894,4.899718046,52.20626974,17.88227987
9036-12704,1.932606369,11.34088802,15.96459365,39.61943245,3.070729256,42.75707626,16.49856186,11.34088802,-0.456500895,1.932606369,5.009554625,39.61943245,15.96459365
9036-12705,8.120568275,23.58489895,25.24448156,80.28166389,6.657386184,42.80849457,46.5463047,23.58489895,3.132890046,8.120568275,9.823446751,80.28166389,25.24448156
9036-1901,31.31866026,42.41130304,72.98785019,89.45878983,5.733892202,44.76437759,26.73727512,42.41130304,5.283637404,31.31866026,42.39036369,89.45878983,72.98785019
9036-1902,9.673146248,12.44262552,13.85970116,20.10813284,1.181185365,43.63959503,38.58616638,12.44262552,3.891601443,9.673146248,6.909080982,20.10813284,13.85970116
9036-3701,82.16262245,39.65168691,160.9560661,90.26527214,5.668373942,42.10113907,79.54415894,39.65168691,12.10113621,82.16262245,49.59016705,90.26527214,160.9560661
9036-3702,1.157118162,6.234585921,10.86572234,16.88707733,4.352124373,43.41768646,1.636592348,6.234585921,-2.860676448,1.157118162,21.01825396,16.88707733,10.86572234
9036-3703,112.9793758,41.79271746,188.5103302,123.1734276,8.180544257,44.70898819,177.0176353,41.79271746,40.03123093,112.9793758,68.12371635,123.1734276,188.5103302
9036-3704,31.18725014,13.35755914,50.46674061,36.34862709,13.34839392,43.08504105,74.28063965,13.35755914,9.524943829,31.18725014,19.84146023,36.34862709,50.46674061
9036-6101,76.16338539,37.47674465,138.1365013,125.7651997,7.48255384,43.87978745,67.69384766,37.47674465,21.56587982,76.16338539,71.02230453,125.7651997,138.1365013
9036-6102,191.9011765,43.86250687,157.8283043,169.1329498,22.22106361,42.39548492,90.51255989,43.86250687,52.69989395,191.9011765,63.3737402,169.1329498,157.8283043
9036-6103,143.3283882,101.9328346,62.68794346,351.7185516,21.35846424,44.27428818,309.1024857,101.9328346,48.09019852,143.3283882,22.02069807,351.7185516,62.68794346
9036-6104,9.978615046,34.67513084,49.49589062,127.267643,6.434731126,44.90873337,52.14780998,34.67513084,3.223622382,9.978615046,16.93738556,127.267643,49.49589062
9036-9101,28.99152613,11.55280304,38.83289814,28.85488129,1.738631219,44.22643661,22.90446138,11.55280304,3.535935879,28.99152613,15.06702685,28.85488129,38.83289814
9036-9102,69.32718277,149.0681839,254.0018501,641.074707,31.25062609,42.91690063,112.6166897,149.0681839,10.33609796,69.32718277,86.69220734,641.074707,254.0018501
9037-12701,45.73995876,36.59070778,18.27104616,135.582016,10.58255959,43.03925705,118.2357922,36.59070778,14.7811985,45.73995876,5.863487244,135.582016,18.27104616
9037-12702,6.416042328,10.32251668,10.77752042,32.67979956,18.53516555,43.24560928,30.55417633,10.32251668,-0.723843537,6.416042328,2.904515147,32.67979956,10.77752042
9037-12703,5.165460467,20.86014485,36.36405945,37.19665956,2.147371918,44.30595398,3.716413736,20.86014485,-0.098926842,5.165460467,13.26196313,37.19665956,36.36405945
