plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,Classification
10504-3704,29.33273697,28.54867387,48.05863571,34.89103842,2.122714698,Passive
10504-6101,0.341737144,4.380078256,2.504223347,1.644554004,0.248764813,Passive
10504-6103,53.54815197,14.28799391,-17.56815434,28.52567148,2.221352935,Passive
10504-6104,9.257218361,5.920315921,13.80453229,16.71663547,1.674058676,Passive
10504-9101,28.90508461,87.56684303,443.5999985,762.0567932,48.59171009,SFG
10504-9102,10.31390071,12.58639765,15.03653955,29.73321342,18.35521078,SFG
10505-12701,19.88947868,30.67439461,91.73116112,144.7406158,9.597764254,SFG
10505-12702,3.957672596,12.18940043,-1.956029832,6.107747078,0.72199744,Passive
10505-12703,24.80489683,23.50042295,39.55119896,78.03866959,8.390240788,SFG
10505-12704,19.5392518,91.73165894,144.9001732,414.9272156,25.21068478,SFG
10505-12705,25.11192195,38.76187642,1.109713356,11.85061169,1.081367215,Passive
10505-1901,13.54387355,12.92712241,18.17997932,15.68137264,1.145344719,Passive
10505-3701,15.22646022,7.023159623,31.67630672,27.53316736,1.945168257,Passive
10505-3702,1.498695046,3.826710582,1.462587923,2.364952862,0.241328146,Passive
10505-3703,8.480773211,21.01524115,23.21041441,61.16321087,4.126712441,Unclassified
10505-3704,0.321663823,3.055189133,0.516404875,1.13816347,0.138210963,Passive
10505-6101,44.15857315,26.67971134,44.40324211,71.44111252,6.054545999,SFG
10505-6102,61.41535854,23.73849821,104.6734695,85.50827694,5.473045111,Unclassified
10505-6103,9.957823992,4.13847965,9.871148109,17.58478856,1.325032145,Passive
10505-6104,118.6301098,73.84456635,37.77137375,253.9491882,16.28902817,SFG
10505-9101,12.66856098,39.85695362,49.09286976,137.0738754,9.32679987,SFG
10505-9102,2.859779477,3.662315845,-1.006460294,0.843788404,0.147178821,Passive
10506-12701,6.535847068,12.59837675,13.34573269,41.09353971,2.959268689,Passive
10506-12702,10.37996554,10.32467031,18.3005867,26.71273136,18.37030935,SFG
10506-12703,78.02736092,120.5429726,128.7785034,433.4705276,24.53389311,SFG
10506-12704,175.9993401,90.54818153,25.5927577,292.2358322,55.46518135,SFG
10506-12705,3.768717349,8.176829815,6.99527508,26.16060972,3.603073061,Unclassified
10506-1901,65.41566849,94.4702301,206.0688324,346.6412735,22.24033308,SFG
10506-1902,2.429116011,0.52563104,0.750520401,2.0181081,0.575390816,Passive
10506-3701,38.79999256,13.56537473,39.21914768,31.98108292,2.121286064,Passive
10506-3702,38.32409668,0.342381716,31.88401604,31.97335386,2.036092699,Passive
10506-3703,75.72270203,84.73974037,69.18893623,287.835022,19.97649479,SFG
10506-3704,-0.998949687,1.69918255,-0.388777306,0.506042928,0.14363414,Passive
10506-6101,13.6812582,44.57857227,65.46863842,173.9451065,9.738661051,SFG
10506-6102,5.854519367,17.11538315,16.92279291,49.89229393,4.500904322,Unclassified
10506-6103,14.04381227,4.096885443,3.317850709,5.700703979,1.529314607,Passive
10506-6104,13.29668665,32.97698498,41.89391804,126.2348671,7.314393163,SFG
10506-9101,15.14933324,20.20231009,37.40282726,52.1565361,10.39136028,SFG
10506-9102,16.61934185,21.87806416,50.38688183,128.2568436,7.530766487,SFG
10507-12701,9.821309408,9.022973378,8.667056084,5.023378849,0.463228683,Passive
10507-12702,40.03661823,35.43523216,24.11489964,112.6116447,6.473963499,SFG
10507-12703,6.287758708,12.42933154,21.53695774,56.64870262,3.132342398,Unclassified
10507-12704,62.47340775,66.36894035,249.20858,398.2213669,24.47295427,SFG
10507-12705,24.25121212,51.37429714,110.5213223,221.7570267,14.7921772,SFG
10507-1901,23.26622438,13.88221622,37.50871277,53.49154472,3.304932833,Unclassified
10507-1902,7.47021544,26.48462772,51.24741554,134.2677078,43.62233829,SFG
10507-3701,10.72374582,11.069736,19.7486515,33.37226629,2.020953506,Passive
10507-3702,14.38109136,30.20152092,60.64745235,141.8668251,9.311963558,SFG
10507-3703,17.34871721,17.74716502,12.28560901,10.37707353,1.309925795,Passive
10507-3704,20.38729763,40.3669014,62.48386192,158.3737755,27.75229836,SFG
10507-6101,35.74876595,14.10524166,75.35590553,42.09804153,2.588672876,Passive
10507-6102,27.91477489,67.88462257,89.72659302,262.0826492,26.15468264,SFG
10507-6103,36.86316586,13.67849684,85.11606789,77.43764687,5.226232052,Unclassified
10507-6104,164.304512,124.4560547,556.3330231,354.9887543,22.27277231,AGN
10507-9101,18.82776403,39.28672314,46.35956287,131.4042664,23.88317251,SFG
10507-9102,67.57535172,121.5926304,317.4076996,546.4199829,36.22080994,SFG
10508-12701,19.997612,51.20227623,198.5816574,322.0680313,19.7895155,SFG
10508-12702,8.872650623,43.64449692,73.37022781,293.0288773,22.86889744,SFG
10508-12703,640.2870026,150.1004219,497.7392273,626.1057739,39.46365738,AGN
10508-12704,30.65525246,24.83732605,19.98128748,91.14163208,5.007104158,Unclassified
10508-12705,23.70243168,11.79017258,56.0051384,52.00655556,3.032677531,Unclassified
10508-1901,185.7746582,179.3077164,132.4493217,673.9111786,39.53092766,SFG
10508-1902,6.619475007,4.231072903,10.16166115,9.221431375,0.590128094,Passive
10508-3701,34.144454,13.40934008,96.53871155,56.00736618,3.519151807,Unclassified
10508-3703,27.70995458,15.24526469,1.992963394,5.568530083,1.033528527,Passive
10508-3704,4.853421211,3.37603577,15.91490809,4.356341203,0.729332328,Passive
10508-6101,355.6383438,153.9759617,1064.624756,564.7667847,33.64364433,AGN
10508-6102,8.716690302,3.239561677,2.123091072,4.253186076,0.388058934,Passive
10508-6103,515.8277588,202.7293777,675.7002716,952.4224243,55.84012508,AGN
10508-6104,99.44442749,162.7019234,475.9482498,722.6232147,44.11587238,SFG
10508-9101,3.869353771,7.458945751,-0.458050907,11.13477675,2.141594887,Passive
10508-9102,7.833245635,4.8605299,21.56797838,15.01524115,1.034931302,Passive
10509-12701,47.66213512,159.6897659,183.6818466,587.4963379,33.54484272,SFG
10509-12702,41.66888332,18.78067112,60.35710526,39.62949181,5.879344463,Unclassified
10509-12703,141.2206078,190.1443176,897.352478,1249.88678,70.76451111,SFG
10509-12704,-0.582934141,3.295335531,-1.852429748,1.328875661,0.882579088,Passive
10509-12705,19.70909071,9.539650202,10.5388236,19.01420879,1.151286691,Passive
10509-1901,88.03034782,455.5674133,681.0113525,1950.188538,122.5603294,SFG
10509-1902,55.89545822,47.0203371,34.06919193,155.1473541,8.749899626,SFG
10509-3701,11.16727161,30.74473333,40.47524738,109.8438988,7.24905479,SFG
10509-3702,26.21599579,22.25446383,3.082448085,4.945795695,0.60949719,Passive
10509-3703,68.71076012,102.0402431,89.69901466,331.5659103,28.27689695,SFG
10509-3704,40.1453104,174.9408531,413.5592422,969.5819702,57.04135323,SFG
10509-6101,34.79885483,107.6027336,149.4101067,399.0376892,26.54639482,SFG
10509-6102,37.18580341,68.2676754,99.37893295,299.6061554,45.72768116,SFG
10509-6103,69.11374474,71.49391174,85.95038414,290.9987488,16.91794443,SFG
10509-6104,22.3462348,62.20080853,85.43419266,227.0747757,20.42699242,SFG
10509-9101,32.7973175,76.15526772,169.3282356,351.0605927,18.41337538,SFG
