plateifu,MANGAID,Type,TType,Unsure
9090-12705 ,1-633755 ,Sb         ,3,0
9090-1901  ,1-296900 ,S0         ,-2,0
9090-1902  ,1-296716 ,Sb         ,3,0
9090-3701  ,1-296733 ,SABab      ,2,0
9090-3702  ,1-297190 ,SBab       ,2,0
9090-3703  ,1-269135 ,Sa         ,1,0
9090-3704  ,1-633775 ,Sa         ,1,0
9090-6103  ,1-269055 ,SAB0a      ,0,0
9090-6104  ,1-269084 ,SB0a       ,0,0
9090-9101  ,1-633584 ,SBbc       ,4,0
9090-9102  ,1-296801 ,E          ,-5,0
9091-12701 ,1-633458 ,SB0a       ,0,0
9091-12702 ,1-265272 ,S          ,11,0
9091-12703 ,1-264729 ,SBbc       ,4,0
9091-12704 ,1-633683 ,SABb       ,3,0
9091-12705 ,1-265285 ,E          ,-5,0
9091-1901  ,1-265375 ,S0         ,-2,0
9091-1902  ,1-265713 ,Sa         ,1,0
9091-3701  ,1-317727 ,Sa         ,1,0
9091-3702  ,1-317791 ,Edc        ,-5,0
9091-3703  ,1-265124 ,S0         ,-2,0
9091-3704  ,1-318148 ,Sa         ,1,0
9091-6101  ,1-265134 ,Sab        ,2,0
9091-6102  ,1-633545 ,E          ,-5,0
9091-6103  ,1-264682 ,Scd        ,6,0
9091-6104  ,1-265783 ,SABb       ,3,0
9091-9101  ,1-265247 ,Sc         ,5,0
9091-9102  ,1-265474 ,Sa         ,1,0
9092-12701 ,1-317568 ,Edc        ,-5,0
9092-12702 ,1-633414 ,S0         ,-2,0
9092-12704 ,1-318071 ,S0         ,-2,0
9092-12705 ,1-633549 ,SBab       ,2,0
9092-1901  ,1-317967 ,S0         ,-2,0
9092-1902  ,1-317962 ,SB0a       ,0,0
9092-3701  ,1-317534 ,Edc        ,-5,0
9092-3702  ,1-375992 ,SABbc      ,4,0
9092-3703  ,1-317471 ,E          ,-5,0
9092-3704  ,1-317540 ,S0         ,-2,0
9092-6101  ,1-318034 ,Sb         ,3,0
9092-6102  ,1-317560 ,SABc       ,5,0
9092-6103  ,1-317742 ,E          ,-5,0
9092-6104  ,1-559150 ,S0         ,-2,0
9092-9101  ,34-30    ,Sc         ,5,0
9092-9102  ,1-317938 ,Sb         ,3,0
9093-12701 ,1-265338 ,Sb         ,3,0
9093-12702 ,1-265069 ,SABcd      ,6,0
9093-12703 ,1-296766 ,Edc        ,-5,0
9093-12704 ,1-296922 ,Sbc        ,4,0
9093-12705 ,1-594273 ,SABc       ,5,0
9093-1901  ,1-265373 ,S0a        ,0,0
9093-3701  ,1-559154 ,Edc        ,-5,0
9093-3702  ,1-633582 ,Sbc        ,4,0
9093-3703  ,1-265671 ,E          ,-5,0
9093-3704  ,1-296702 ,Edc        ,-5,0
9093-6101  ,1-561319 ,Sa         ,1,0
9093-6102  ,1-296732 ,Sab        ,2,0
9093-6103  ,1-296892 ,SABbc      ,4,0
9093-6104  ,1-296778 ,Sd         ,7,0
9093-9101  ,1-296771 ,SABab      ,2,0
9093-9102  ,1-297192 ,SBm        ,9,0
9094-12701 ,1-317497 ,Sbc        ,4,0
9094-12702 ,1-265226 ,S0         ,-2,0
9094-12703 ,1-594116 ,Sab        ,2,0
9094-12704 ,1-559153 ,S0         ,-2,0
9094-12705 ,1-317783 ,SABb       ,3,0
9094-1901  ,1-264755 ,Sa         ,1,0
9094-1902  ,1-265404 ,Sm         ,9,0
9094-3701  ,1-317653 ,Sbc        ,4,0
9094-3702  ,1-559157 ,Edc        ,-5,0
9094-3703  ,1-265378 ,E          ,-5,0
9094-3704  ,1-317694 ,E          ,-5,0
9094-6101  ,1-264784 ,Sab        ,2,0
9094-6102  ,1-264715 ,E          ,-5,0
9094-6103  ,1-264815 ,E          ,-5,0
9094-6104  ,1-265180 ,Sb         ,3,0
9094-9101  ,1-317695 ,S0a        ,0,0
9094-9102  ,1-559149 ,Edc        ,-5,0
9095-12701 ,1-376413 ,SBab       ,2,0
9095-12703 ,1-318330 ,SABab      ,2,0
9095-12704 ,1-318315 ,Sbc        ,4,0
9095-12705 ,1-376608 ,Sbc        ,4,0
9095-1901  ,1-317822 ,SBab       ,2,0
9095-1902  ,1-376429 ,SAB0a      ,0,0
9095-3701  ,1-376285 ,SABab      ,2,0
9095-3703  ,1-318434 ,S0a        ,0,0
9095-3704  ,1-376616 ,S0a        ,0,0
9095-6101  ,1-318435 ,Sbc        ,4,0
9095-6102  ,1-318321 ,Sa         ,1,0
9095-6103  ,1-318364 ,E          ,-5,0
9095-6104  ,1-318463 ,Sab        ,2,0
9095-9102  ,1-318334 ,SBb        ,3,0
9181-12701 ,1-71950  ,E          ,-5,0
9181-12702 ,1-71872  ,Edc        ,-5,0
9181-12703 ,1-71976  ,E          ,-5,0
9181-12704 ,1-71953  ,Edc        ,-5,0
